carrierId,carrierName,fromDate,toDate,scanDescription,normalizedScan,frequency,status
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383528+00:00,Package was returned to the sender ,package was returned to the sender,487549,Not Matched
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.738433+00:00,Shipment voided,shipment voided,236944,Not Matched
fede808b-fbf4-449c-8816-41aae5aa62ec,FEDEX UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384696+00:00,"Shipment exception - Improper or missing international paperwork, contact Customer Service",shipment exception improper or missing international paperwork contact customer service,111502,Not Matched
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384146+00:00,"Image requested for carrier, image exported to carrier",image requested for carrier image exported to carrier,98463,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383637+00:00,UPS has returned your package to the sender.,ups has returned your package to the sender,76984,Not Matched
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384448+00:00,ICRC,icrc,73467,Not Matched
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384331+00:00,Shipment voided Parcel Not Shipped e-mail notification sent,shipment voided parcel not shipped e mail notification sent,41650,Not Matched
fede808b-fbf4-449c-8816-41aae5aa62ec,FEDEX UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384695+00:00,"Shipment exception - Held, cleared regulatory agency(s) after aircraft/truck departed",shipment exception held cleared regulatory agency s after aircraft/truck departed,28013,Not Matched
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384414+00:00,Your parcel has arrived at our airport facility in the UK for processing,your parcel has arrived at our airport facility in the uk for processing,27433,Not Matched
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384451+00:00,ILDR,ildr,26763,Not Matched
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384452+00:00,IPDA,ipda,26536,Not Matched
fede808b-fbf4-449c-8816-41aae5aa62ec,FEDEX UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384699+00:00,Shipment exception - We're waiting for more packages from your multi-piece shipment,shipment exception we re waiting for more packages from your multi piece shipment,24868,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383677+00:00,We were unable to deliver your package. It's on the way to a secure UPS Access Point™ location for pick up.,we were unable to deliver your package it s on the way to a secure ups access point location for pick up,20782,Not Matched
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,0001-01-01T00:00:00,2024-10-25T14:14:30.738444+00:00,I273,i273,20066,Not Matched
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384213+00:00,Parcel retrieved from DPD Pickup Shop,parcel retrieved from dpd pickup shop,18849,Not Matched
fede808b-fbf4-449c-8816-41aae5aa62ec,FEDEX UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384688+00:00,Local Delay - Your package may be late- local delivery restrictions,local delay your package may be late local delivery restrictions,17948,Not Matched
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383447+00:00,682,682,16333,Not Matched
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384333+00:00,Shipment voided Parcel Not Shipped SMS & Parcel Not Shipped e-mail notification sent,shipment voided parcel not shipped sms parcel not shipped e mail notification sent,15282,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383722+00:00,"Your shipment's duties and taxes are awaiting payment. Once received and validated, it will resume the transit journey.",your shipment s duties and taxes are awaiting payment once received and validated it will resume the transit journey,14117,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383632+00:00,UPS Access Point™ possession ,ups access point possession,13897,Not Matched
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384556+00:00,"Unfortunately this parcel is damaged, we'll assess the damage and update tracking",unfortunately this parcel is damaged we ll assess the damage and update tracking,13351,Not Matched
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383853+00:00,"Delivered - Specified safe place, received by LEFT AS INSTRUCTED",delivered specified safe place received by left as instructed,13151,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383533+00:00,Requested delivery change cannot be completed. The package will be delivered as previously scheduled.,requested delivery change cannot be completed the package will be delivered as previously scheduled,12718,Not Matched
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383451+00:00,715,715,12210,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383617+00:00,This package has been delivered and can no longer be returned to the sender.,this package has been delivered and can no longer be returned to the sender,11518,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383583+00:00,The package is not claim eligible because the liability period has passed.,the package is not claim eligible because the liability period has passed,11447,Not Matched
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384436+00:00,I259,i259,10580,Not Matched
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384437+00:00,I260,i260,10484,Not Matched
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384439+00:00,I261,i261,10484,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383576+00:00,"The package contains multiple, duplicate tracking numbers.",the package contains multiple duplicate tracking numbers,9649,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383485+00:00,"All merchandise missing, empty carton was discarded. UPS will notify the sender with details of the damage.",all merchandise missing empty carton was discarded ups will notify the sender with details of the damage,8619,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383719+00:00,Your pkg has been delayed due to missing clearance information. We are attempting to obtain information from the shipper,your pkg has been delayed due to missing clearance information we are attempting to obtain information from the shipper,8531,Not Matched
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384568+00:00,"We have this parcel, we'll get it on its way once the parcel information has been sent to Evri",we have this parcel we ll get it on its way once the parcel information has been sent to evri,7960,Not Matched
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384476+00:00,Delivered To Courier,delivered to courier,7278,Not Matched
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384146+00:00,Image Available,image available,7220,Not Matched
fede808b-fbf4-449c-8816-41aae5aa62ec,FEDEX UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384694+00:00,Shipment arriving On-Time,shipment arriving on time,6993,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383678+00:00,We were unable to deliver your package. It’s on the way to a secure UPS Access Point™ location for pick up.,we were unable to deliver your package it s on the way to a secure ups access point location for pick up,6883,Not Matched
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7383523+00:00,Missing shipment data is causing a delay. We are awaiting electronic data upload from the Shipper.,missing shipment data is causing a delay we are awaiting electronic data upload from the shipper,6736,Not Matched
fede808b-fbf4-449c-8816-41aae5aa62ec,FEDEX UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384689+00:00, - Package received after final location pickup has occurred. Scheduled for pickup next business day.,package received after final location pickup has occurred scheduled for pickup next business day,6234,Not Matched
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384435+00:00,I258,i258,5700,Not Matched
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384332+00:00,Shipment voided Parcel Not Shipped SMS notification sent,shipment voided parcel not shipped sms notification sent,5679,Not Matched
fede808b-fbf4-449c-8816-41aae5aa62ec,FEDEX UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384697+00:00,Shipment exception - Unable to contact recipient for broker info,shipment exception unable to contact recipient for broker info,5526,Not Matched
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384576+00:00,"Your parcel has been dropped off at our Evri locker, we'll be collecting it shortly",your parcel has been dropped off at our evri locker we ll be collecting it shortly,5510,Not Matched
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,0001-01-01T00:00:00,2024-10-25T14:14:30.7384493+00:00,In Depot - Expired,in depot expired,5426,Not Matched
