scan_name,proposed_scan_group,note
arrived at sort facility,Warehouse Scan,
depart facility,Departure Scan,
edi invoice and hwb data merge,new__new__,new
returned to shipper,Returned to sender,
arrived at delivery facility,Arrival at delivery depot,
with delivery courier,Out for delivery,
uncontrollable clearance delay,Clearance has been delayed by customs or other government agency,
transferred through,In Transit,
the shipment is undergoing an inspection from a regulatory authority and is currently on hold,Held for inspection by government agency,
the shipment is pending completion of customs inspection,Customs clearance in progress,
the shipment is on hold as the receiver details are insufficient for delivery,Valid receiver's contact information required,
the shipment is currently on hold as requested by the shipper or receiver,Shipment on hold after request,
the shipment is currently on hold and awaiting paperwork to continue processing,Additional information or paperwork required for customs clearance,
the shipment is being held and not expected to be moved or delivered on time due to a force majeure event with weather,Delay due to adverse weather conditions,
the shipment has arrived at facility and is awaiting the delivery cycle,Arrival scan,
the requested service has changed for assistance please contact dhl,Service not available for this location and will be changed,
the requested service for your shipment has been changed for assistance please contact dhl,Service not available for this location and will be changed,
the receiver has refused to accept the shipment at the time of delivery attempt as the shipment contents have not been ordered by them,Delivery refused,
the receiver has refused to accept the shipment as the time of delivery,Delivery refused,
the piece has arrived later than normally scheduled and cannot make its expected planned movement / delivery cycle,Arrived late at destination - Expect 1 business day delivery delay,
the clearance process for this shipment is pending till such time that some additional details required for clearance are provided to the regulatory authorities,Additional information or paperwork required for customs clearance,
the clearance process for this shipment is pending due to incomplete shipper paperwork,Missing or incomplete export documentation,
testing awaiting export license to complete clearance,Missing export license required for clearance,
shipper contacted,Carrier to contact sender or receiver,
shipment picked up,Shipment collected,
shipment on hold,Shipment on hold,
shipment may contain personal effects therefore specific customs processing may be required,Personal affects form required for customs clearance,
shipment is held pending clarification of goods valuation,Shipment is held to verify commodity description for correct classification,
shipment held available upon receipt of payment,Held awaiting tax payment by the receiver,
shipment arrived at wrong facility sent to correct destination,Carrier misrouted the shipment - Corrective action underway,
shipment arrived at incorrect facility sent to correct destination,Carrier misrouted the shipment - Corrective action underway,
scheduled for delivery as agreed,Scheduled for delivery,
scheduled for delivery,Scheduled for delivery,
recipient refused delivery,Delivery refused,
recipient moved,Receiver moved,
processed at,not_clear,
please contact dhl,Request to contact carrier,
paperwork is required from the importer to continue with the clearance processing,Additional information or paperwork required for customs clearance,
missorted to an incorrect location,Carrier misrouted the shipment - Corrective action underway,
incomplete address information may delay delivery we are attempting to update this information,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,
further clearance processing is required,Customs clearance in progress,
forwarded for delivery,The package is being forwarded to the destination city,
due to the heavy traffic on the delivery route the shipment could not be delivered,Delivery delayed due to a traffic related issue,
due to the adverse weather conditions the shipment could not be delivered,Delay due to adverse weather conditions,
due to adverse weather conditions the shipment could not be delivered,Delay due to adverse weather conditions,
due to a technical issue the shipment is currently on hold pending further processing,Shipment on hold,
due to a public holiday at the destination the shipment processing is on hold for this period,Delivery rescheduled due to holiday closures,
disruption in network tractor trailer,Delay due to mechanical failure,
dhl needs to contact the receiver but contact details provided are inaccurate or insufficient to make contact,Valid receiver's contact information required,
partial delivery,Partial delivery,
dhl needs further information from the importer,,
delivery attempted recipient not home,,
delivery attempted premises closed,,
delivery attempted consignee premises closed,,
delivery arranged no details expected,,
delivered to broker as requested,,
delivered signed for by,,
declared as repair and return which requires specific customs processing including serial numbers and other proof of status,,
customs status updated,,
customer instructed to reschedule attempted delivery of the shipment,,
collection scan,,
departed facility,,
clearance is pending while waiting for the arrival of all piece s of a multi piece shipment,,
clearance is pending while shipment waybill and/or invoice image is being generated,,
clearance is pending while regulatory paperwork is being generated,,
clearance is pending as the shipment will be cleared by the importers designated external broker,,
clearance event,,
clearance delay,,
broker notified to arrange for clearance,,
based on a customer request delivery will not be attempted as planned,,
awaiting pickup by recipient as requested,,
awaiting import license to complete clearance,,
awaiting export license to complete clearance,,
awaiting collection by recipient as requested,,
awaiting authorization of/or advance duty payment from customer,,
available on payment by recipient,,
arrived at dhl facility,,
clearance processing complete,,
an exception in the sorting process has occurred ups has taken corrective action,,
adverse weather conditions,,
address information needed contact dhl,,
a transportation accident has delayed delivery,,
a technical issue has been encountered with the vehicle preventing an immediate delivery attempt to be made,,
a specific certificate from the shipper or importer is required to validate the duty / tax free status of a shipment,,
a dhl representative will contact importer prior to clearance processing,,
a delivery change request for this package will be processed,,
^delivered$,,
shipment accepted,,
departed from dhl facility,,
delivery attempted,,
address information needed,,
at destination sort facility,,
shipment has departed from a dhl facility.*,,
arrived at dhl delivery facility.*,,
arrived at dhl sort facility.*,,
shipment is in transit to destination,,
shipment is out with courier for delivery,,
shipment is on hold,,
scheduled to depart on the next planned movement,,
customs clearance status updated note the customs clearance process may start while the shipment is in transit to the destination,,
awaiting collection by the consignee,,
payment is received and recorded,,
forwarded to a third party agent,,
on hold awaiting for payment of shipment related fees,,
delivery not accepted,,
further consignee information needed,,
delivery attempt could not be completed,,
delivery has been arranged through a third party service,,
shipment will be cleared and delivered by broker,,
