scanGroupId,scan_group,description,smart scan - match ,tags
fab7a1ed-c7e2-42bf-852b-0c7f3d2038b3,Shipment manifested,Shipment manifested,,"collection,manifested"
d583ab1d-2667-419c-b84e-4320192e1825,Delivered,Delivered,,delivered
667c9f0c-4671-4af0-a788-c264b8553dac,Package on hold for delivery,Package on hold for delivery,,"delivery,on_hold,future_delivery_date_requested"
475f6865-4882-4523-8795-9a0d4f8e1d6e,Out for delivery,Out for delivery,,out_for_delivery
fb7930dd-9d90-4dde-82cf-930de2e0e216,Delivery issue resolved. Delivery will be scheduled for the next working day,Delivery issue resolved. Delivery will be scheduled for the next working day,,"scheduled_for_delivery,issue_resolved"
7e750f7e-2154-4c2f-836e-007e7786480c,Shipment collected,Shipment collected,,collected
6c58c5e3-ac1b-4278-a29e-3d8b88034a71,Warehouse Scan,Warehouse Scan,,warehouse
b3c222da-581b-4b4d-ad4f-8b08d0a997a2,In Transit,In Transit,,in_transit
1e842847-3377-47a9-81cd-07be30c50e72,Collection failed. To be rescheduled.,Collection failed. To be rescheduled.,,"collection,collection_failed,collection_rescheduled,collect_next_business_day"
4907c213-ab51-4fdb-877d-9f4cd6c1f240,Collection failed or cancelled. Rebooking required,Collection failed or cancelled. Rebooking required,,"collection,rebooking_required,collection_failed"
a69c1c77-6db6-4b02-a805-435b8dac6998,Collection failed - Parcel not ready,Collection failed - Parcel not ready,,"collection,collection_failed,parcel_not_ready"
7c2f9c16-44e8-405a-8565-b530ae9d7f66,Collection failed - Shipper not available,Collection failed - Shipper not available,,"collection,collection_failed,shipper_not_available"
621a4e19-0918-4625-baff-c7cda11feb0c,Collection made - label issue,Collection made - label issue,,"collection,collected,label,label_issue"
6f8c77fe-bb96-485b-8feb-e95d70e6ba80,Package not collected - Damaged,Package not collected - Damaged,,"collection,not_collected,damaged"
1d635596-d18b-4254-8398-916d3c5f32bb,Not collected,Not collected,,"collection,not_collected,no_longer_required"
6a2b2a91-205b-41b6-a784-0ed76df873e5,Collection failed - Unable to gain access,Collection failed - Unable to gain access,,"collection,collection_failed,unable_to_gain_access"
2c23cb2a-1856-476c-8070-59ea2cbb1ca7,Collection scheduled,Collection scheduled,,"collection,collection_scheduled"
b63f9db2-ee1e-406b-991c-be300ad3b32d,Collection scheduled for next business day,Collection scheduled for next business day,,"collection,collection_scheduled,collect_next_business_day"
c1722b4d-c3e3-4b30-b171-fac3ec6add0f,Not collected due to address issue,Not collected due to address issue,,"collection,address_issue"
778872ee-9dcf-4522-9998-26e6e06d38ff,Arrival at delivery depot,Arrival at delivery depot,,"in_transit,arrived_at_delivering_depot"
bd649c1a-edfd-4ccd-b830-ff940bf55f55,Import Scan,Import Scan,,"in_transit,import"
bfea056c-8daf-4846-894b-f0e79240cf9e,Shipment dropped off awaiting carrier collection,Shipment dropped off awaiting carrier collection,,"collection,pudo,dropped_off_pudo"
3d583349-098f-487d-a75c-71dea69b81f3,Export Scan,Export Scan,,"in_transit,export"
8a6f5bab-4a6d-46fc-8d5c-33eb00e367b1,Released by customs. Clearance complete.,Released by customs. Clearance complete.,,"customs,clearance,released_by_customs"
66fc71f9-e01b-4b87-9138-14ebf068c01e,Delivery attempted. Receiver not available for delivery. Shipment to be delivered to a nearby pick-up point.,Delivery attempted. Receiver not available for delivery. Shipment to be delivered to a nearby pick-up point.,,"delivery,receiver_unavailable,delivery_attempted,force_pudo_delivery,pudo"
4f4bd244-5ace-4477-9179-34fd9e5b9023,Shipment ready for collection from pick-up point,Shipment ready for collection from pick-up point,,"delivery,delivered,pudo,delivered_to_pudo,awaiting_collection"
4d0470ee-32d3-463d-8eb7-f187eb016ce1,1st of 3 Delivery attempts. Receiver not available,1st of 3 Delivery attempts. Receiver not available,,"receiver_unavailable,delivery_attempted,one_of_three_attempts"
4baae71a-4579-4fed-860a-05da3b13ddc9,Delivery rescheduled,Delivery rescheduled,,delivery_rescheduled
4796f4a2-c081-41d0-82fe-d8a982078677,Customs clearance in progress,Customs clearance in progress,,"customs,clearance,customs_clearance_in_progress"
846d6640-376c-49b4-96d7-f5af9ab057d7,Delay due to adverse weather conditions,Delay due to adverse weather conditions,,"transit_delay,force_majeure,adverse_weather"
399c081b-ae68-4372-9034-172fcc2619f3,Request to reschedule delivery,Request to reschedule delivery,,"delivery,new_instructions,being_rescheduled"
