scan,code
Norsk,0
RETURNS: Customer to collect,657
Client manifest problem - HAWB discrepancy,659
Piece not received,660
Prepared for export / in transit,663
Misroute,664
Label created,665
Import in warehouse - ready for collection,666
Carrier Codes,667
Carrier delay,668
Airline delay,669
Flight cancelled,670
Flight technical,671
Mishandled by airline,672
Late arrival of carrier,673
Schedule changes,674
Industrial action,675
Flight offloaded,676
Missing with carrier,677
Missed connection,678
Weather delay,679
Misrouted by carrier,680
Others,681
Destination on holiday,682
Prepared for export,683
Airline delay - inbound,684
Non arrival of consolidation at gateway,685
Consolidation arrived at gateway,686
Customs,687
Customs procedure/under inspection,688
Waiting for information,689
Waiting for information from consignee,690
Waiting for standard paperwork,691
Waiting for better details,692
Waiting for Power of Attorney,693
Waiting for payment of Duties & Taxes,694
Consignee not registered at Customs,695
Others,696
Waiting for information from shipper,697
Waiting for original invoices,698
Waiting for telephone number,699
Others,700
Norsk waiting for info from customs,701
Info received for clearance,702
Broker to clear,703
Free domicile,704
Refused,705
Consignee does not want the goods,706
Consignee did not order the goods,707
Consignee will not pay the duty / VAT amount,708
Consignee will not complete the import entry documentation,709
Others,710
Stopped,711
Mis-declared,712
Illegal goods,713
Detailed inspection,714
Product restrictions,715
Others,716
Clearance deadline,717
Approaching customs deadline,718
Past customs deadline,719
Storage charges,720
Imminent,721
Levied,722
Destination on holiday,723
Detailed pre-export inspection,724
Internet purchase - private residence,725
DG - Frontier Paperwork Verification,726
Departed UK facility,727
Flown as booked,728
Agent Codes,729
Standard Processing,730
Not Received,731
Being processed at destination,732
Out for delivery,733
Due for delivery next working day,734
Given to on-forwarder,735
Collection Processing,736
Collection Problems,737
Contact person unknown,738
Collection ref no. not valid,739
Collection not ready,740
Goods unkown at collection address,741
Customer instructed to post,742
Others,743
Consignee to collect from local pickup point,744
Collection booking received,745
Collection booked with agent,746
Collection booked with driver,747
Collection booked with sub-contrator,748
Collection confirmed as collected,749
Collection in local depot,750
Collection en route to main hub,751
Collection in main hub,752
Delays,753
Missed internal cut-off,754
Local weather,755
Roads,756
Industrial strikes,757
Pieces not received,758
Part received out for delivery,759
On hold until all pieces arrive,760
Delivery problems,761
Incorrect address,762
Can't locate company,763
Private address,764
PO Box address,765
Need phone number,766
Delivery misroute,767
Consignee Problems,768
Consignee not in,769
Consignee not in - telephone number provided is not in use,770
Consignee not in - telephone number provided is incorrect,771
Consignee not in - consignment too big to post,772
Consignee not known,773
Consignee on holiday,774
Need consignee tel. No.,775
Consignee moved,776
Consignee refused shipment,777
Consignee not in - voicemail left,778
Consignee not in - unable to leave message,779
Need contact name,780
Delivery being arranged,781
Company Problems,782
Company closed,783
Shipment refused,784
Consignee does not want the goods,785
Consignee did not order the goods,786
Consignee no longer works for the company,787
Deadlines,788
Approaching agents deadline,789
Past agents deadline,790
Shipment held by agent,791
Unable to Deliver to Receiver,792
Awaiting further instructions from Norsk,793
Shipment destroyed by agent ,794
To be returned to Origin,795
Unmanifested template,796
Info received and passed to agent,797
FERRAGOSTO - Italian Holiday,798
Consignee to collect from agent office,799
Awaiting further instructions from Shipper,800
Proof Of Delivery,801
Delivered,802
POD for part delivery,803
Business book-in,804
Arrived at sort facility,805
Departed sort facility,806
Management Codes,807
Lost,808
Lost by agent,809
Lost by agents agent,810
Lost by Norsk,811
Lost by airline,812
Lost,813
POD,814
False POD,815
No further action required,816
Stolen,817
Others,818
Collection Pending,822
Already collected,823
Shipment sent by alternative means,824
No shipment,825
Contact not reached,826
Auto cancelled unresolved problem booking,827
Area not serviced by Integrator,829
Item status codes,830
MAWB,831
Received,835
Not received,836
In customs,837
Indemnity form required,839
Clearance delay,840
Clearance release,841
Shipment inspection,843
Send next rotation,863
SECONDARY,864
UK Operator,865
EPOS Error,866
DHL Operator,867
Misrouted by Norsk,868
Container label,869
Send out no scan,870
