scan_id,pattern,type,current_scanGroupId,carrier,carrierId,current_scan_group,proposed_scan_group,scanGroupId
arrived at sort facility-DHL UK-Warehouse Scan,arrived at sort facility,RegEx,6c58c5e3-ac1b-4278-a29e-3d8b88034a71,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Warehouse Scan,In Transit,b3c222da-581b-4b4d-ad4f-8b08d0a997a2
depart facility-DHL UK-In Transit,depart facility,RegEx,b3c222da-581b-4b4d-ad4f-8b08d0a997a2,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,In Transit,Departure Scan,ddb74326-d54d-4dfe-9624-abdb3d6cc0c5
arrived at delivery facility-DHL UK-Warehouse Scan,arrived at delivery facility,RegEx,6c58c5e3-ac1b-4278-a29e-3d8b88034a71,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Warehouse Scan,Arrival at delivery depot,778872ee-9dcf-4522-9998-26e6e06d38ff
the shipment is undergoing an inspection from a regulatory authority and is currently on hold-DHL UK-Customs clearance delay,the shipment is undergoing an inspection from a regulatory authority and is currently on hold,RegEx,e6e3e3b7-6046-40ac-8236-21d12576a5e7,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Customs clearance delay,Held for inspection by government agency,e197487d-bc6b-48e8-a617-3b80bfc78144
the shipment is pending completion of customs inspection-DHL UK-Customs clearance delay,the shipment is pending completion of customs inspection,RegEx,e6e3e3b7-6046-40ac-8236-21d12576a5e7,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Customs clearance delay,Customs clearance in progress,4796f4a2-c081-41d0-82fe-d8a982078677
the shipment is currently on hold and awaiting paperwork to continue processing-DHL UK-Additional information required for customs clearance,the shipment is currently on hold and awaiting paperwork to continue processing,RegEx,e21a9237-0517-450e-9ccb-53c87df229f9,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Additional information required for customs clearance,Additional information or paperwork required for customs clearance,41d9399a-3514-420d-a36b-53c539b89423
the shipment has arrived at facility and is awaiting the delivery cycle-DHL UK-Warehouse Scan,the shipment has arrived at facility and is awaiting the delivery cycle,RegEx,6c58c5e3-ac1b-4278-a29e-3d8b88034a71,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Warehouse Scan,Arrival at delivery depot,778872ee-9dcf-4522-9998-26e6e06d38ff
the piece has arrived later than normally scheduled and cannot make its expected planned movement / delivery cycle-DHL UK-Carrier error delayed delivery,the piece has arrived later than normally scheduled and cannot make its expected planned movement / delivery cycle,RegEx,ea0d4eb0-2f76-4002-bbd7-1e853a32948b,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Carrier error delayed delivery,Arrived late at destination - Expect 1 business day delivery delay,b7349cb4-896b-4a03-a984-8b556118a1b7
the clearance process for this shipment is pending till such time that some additional details required for clearance are provided to the regulatory authorities-DHL UK-Clearance has been delayed by customs or other government agency,the clearance process for this shipment is pending till such time that some additional details required for clearance are provided to the regulatory authorities,RegEx,e88ff616-6014-4117-9c92-de79a974709f,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Clearance has been delayed by customs or other government agency,Additional information required for customs clearance,e21a9237-0517-450e-9ccb-53c87df229f9
the clearance process for this shipment is pending till such time that some additional details required for clearance are provided to the regulatory authorities-DHL UK-Clearance has been delayed by customs or other government agency,the clearance process for this shipment is pending till such time that some additional details required for clearance are provided to the regulatory authorities,RegEx,e88ff616-6014-4117-9c92-de79a974709f,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Clearance has been delayed by customs or other government agency,Additional information required for customs clearance,e21a9237-0517-450e-9ccb-53c87df229f9
shipment may contain personal effects therefore specific customs processing may be required-DHL UK-Additional information required for customs clearance,shipment may contain personal effects therefore specific customs processing may be required,RegEx,e21a9237-0517-450e-9ccb-53c87df229f9,DHL UK,a1630cac-f11e-45eb-ba58-de00a0c48748,Additional information required for customs clearance,Personal affects form required for customs clearance,c81aa907-940d-4929-af1f-439db72b4865
