carrierId,carrier,pattern,proposed_scan_group,,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,ups has returned your package to the sender,Returned to sender,,,,
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,i273,Returned to sender,,,,
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,i259,Internal activity scan,,,,
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,arrived at facility,Arrival scan,,,,
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,i260,Internal activity scan,,,,
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,i261,Internal activity scan,,,,
fede808b-fbf4-449c-8816-41aae5aa62ec,FEDEX UK,local delay your package may be late local delivery restrictions,Delay due to operational reasons,,,,
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,682,Delivery rescheduled due to holiday closures,,,,
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,departed from facility,Departure Scan,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,unfortunately this parcel is damaged we ll assess the damage and update tracking,Package damaged in transit,,,,
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,i258,Internal activity scan,,,,
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,your package is on the way,In Transit,,,,
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,shipper created a label ups has not received the package yet,Shipment manifested,,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,all merchandise missing empty carton was discarded ups will notify the sender with details of the damage,Package damaged and contents discarded,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,delivered to courier,In Transit,,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,we were unable to deliver your package it s on the way to a secure ups access point location for pick up,Delivery attempted. Receiver not available for delivery. Shipment to be delivered to a nearby pick-up point.,,,,
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,import scan,Import Scan,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,pre advice loaded from offline qr code,Internal activity scan,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at unit 10 received by jim,Delivered to neighbour,,,,
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,pickup scan,Shipment collected,,,,
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,ihwa,not_clear,,,,
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,1646,not_clear,,,,
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,processing at ups facility,In Transit,,,,
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,export scan,Export Scan,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,damaged after depot returns sort,Package damaged in transit,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivery to dpd pickup shop not possible collect from pickup apology sms collect from pickup apology e mail notification sent,not_clear,,,,
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,757,Delay due to industrial action,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivery to dpd pickup shop not possible,Unable to deliver to pick-up point. Contact carrier for alternative arrangements,,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,commercial inside release,Internal activity scan,,,,
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,out for delivery today,Out for delivery,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,in hub parcel expired,Internal activity scan,,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,we ve left a notice about the package,Internal activity scan,,,,
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,delivered,Delivered,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,delivered bfpo hq uk,Delivered,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,return has been processed at the hermes hub and will be with the retailer shortly,In Transit,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivery to dpd pickup shop not possible collect from pickup apology sms notification sent,not_clear,,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,ups initiated contact with receiver to collect the import processing fee select pay now where available,Held awaiting tax payment by the receiver,NEW: Held awaiting tax payment by the receiver - contact made,,,
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,1436,MSDS required,,,,
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,warehouse scan,Warehouse Scan,,,,
fede808b-fbf4-449c-8816-41aae5aa62ec,FEDEX UK,delay unable to contact recipient for broker info,not_clear,new__Unable to contact receiver for customs clearance,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,parcel disposed of due to exceeding maximum shelf life,Parcel disposed of,NEW: Parcel disposed of: Product expired,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,returned to sender,Returned to sender,,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,the sender requested that we return the package,Return of the package requested,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,damaged after depot sort,Package damaged in transit,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 11 received by hampton,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,shipment unvoided,not_clear,,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,the billing option selected is not valid for this package,Internal activity scan,,,,
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,icac,Collection failed,,,,
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,i533,Shipment not collected by receiver from pick-up point and will be returned to sender,,,,
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,ibpd,Delivered,,,,
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,1502,In Transit,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,redelivery request service upgrade made for sun 16 june 2024 between 07 00 and 22 00 upgrade acknowledgement sms notification sent,New instructions received - We updated the delivery information for your package,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,damaged after pshop driver collection,Package damaged in transit,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 2 received by jones,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 195 received by toolstation,Delivered to neighbour,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,locker full,not_clear,,,,
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,1505,Shipment collected,,,,
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,duties or taxes are due on this package,Import charges are due,,,,
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,import charges are due for this package select pay now where available or pay at delivery,Import charges are due,,,,
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,1543,Held awaiting tax payment by the receiver,,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,import c o d icod charges are due for this package online payment required at ups com,Import charges are due,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,stop and return customer request,new__new__stop and return customer request,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 11 received by lloyd d,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at unit 2 jm clark received by asal,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 48 received by newton,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at uk electricals whole sale trade counter offic2 received by sam,Delivered to neighbour,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,safe place open porch request,New instructions received – We updated the delivery information for your package,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,return holding / storage limit expired,Shipment to be returned,,,,
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,723,Delivery rescheduled due to holiday closures,,,,
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,out for delivery,Out for delivery,,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,the billing option selected is not valid for this package,Internal activity scan,,,,
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,1446,In Transit,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,this parcel is too large a specialist hermes courier will deliver on the next working day,Alternative vehicle scheduled for this delivery due to size,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,damaged after courier inbound activity,Package damaged in transit,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,carded,Delivery attempted. Receiver not available for delivery,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 1 received by h greaves,Delivered to neighbour,,,,
a1630cac-f11e-45eb-ba58-de00a0c48748,DHL UK,on hold,Shipment on hold,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at maydencroft received by james,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,redelivery request service upgrade made for tue 27 february 2024 between 12 00 and 18 00 upgrade acknowledgement sms upgrade acknowledgement e mail notification sent,New instructions received - We updated the delivery information for your package,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at jjs cafe received by jjs cafe,Delivered to neighbour,,,,
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at security office received by rubly,Delivered,,,,
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,in hub incomplete address,Incomplete or incorrect delivery address. Additional information or directions needed for delivery.,,,,
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,the commodity value of your package exceeds the limit we allow,new__new__Commodity value exceeds limit,,,,
