carrierId,carrier,pattern,proposed_scan_group,scanGroupId
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,ups has returned your package to the sender,Returned to sender,9d2bfb98-0f46-4d06-957b-1bd9fef410ab
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,i273,Returned to sender,9d2bfb98-0f46-4d06-957b-1bd9fef410ab
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,i259,Internal activity scan,91349ad2-8859-4778-a6a2-a280b3e2a2e8
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,arrived at facility,Arrival scan,8dcc418e-4470-47b2-a439-6e2c517a7546
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,i260,Internal activity scan,91349ad2-8859-4778-a6a2-a280b3e2a2e8
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,i261,Internal activity scan,91349ad2-8859-4778-a6a2-a280b3e2a2e8
fede808b-fbf4-449c-8816-41aae5aa62ec,FEDEX UK,local delay your package may be late local delivery restrictions,Delay due to operational reasons,e672ed4a-8ffd-4538-bf6d-442c48130d28
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,682,Delivery rescheduled due to holiday closures,4b22eecd-bdb4-4030-a64b-f7f1f7a8bf37
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,departed from facility,Departure Scan,ddb74326-d54d-4dfe-9624-abdb3d6cc0c5
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,unfortunately this parcel is damaged we ll assess the damage and update tracking,Package damaged in transit,c00bf613-506c-423f-b34a-ac3a2ad1fc90
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,i258,Internal activity scan,91349ad2-8859-4778-a6a2-a280b3e2a2e8
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,your package is on the way,In Transit,b3c222da-581b-4b4d-ad4f-8b08d0a997a2
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,shipper created a label ups has not received the package yet,Shipment manifested,fab7a1ed-c7e2-42bf-852b-0c7f3d2038b3
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,all merchandise missing empty carton was discarded ups will notify the sender with details of the damage,Package damaged and contents discarded,763e76ba-eb15-4e9f-bb15-66120f35da47
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,delivered to courier,In Transit,b3c222da-581b-4b4d-ad4f-8b08d0a997a2
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,we were unable to deliver your package it s on the way to a secure ups access point location for pick up,Delivery attempted. Receiver not available for delivery. Shipment to be delivered to a nearby pick-up point.,66fc71f9-e01b-4b87-9138-14ebf068c01e
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,import scan,Import Scan,bd649c1a-edfd-4ccd-b830-ff940bf55f55
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,pre advice loaded from offline qr code,Internal activity scan,91349ad2-8859-4778-a6a2-a280b3e2a2e8
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at unit 10 received by jim,Delivered to neighbour,5e415cf1-6bd2-4698-982e-5785ebedf07a
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,pickup scan,Shipment collected,7e750f7e-2154-4c2f-836e-007e7786480c
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,processing at ups facility,In Transit,b3c222da-581b-4b4d-ad4f-8b08d0a997a2
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,export scan,Export Scan,3d583349-098f-487d-a75c-71dea69b81f3
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,damaged after depot returns sort,Package damaged in transit,c00bf613-506c-423f-b34a-ac3a2ad1fc90
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,757,Delay due to industrial action,a0e2ecb5-bd0e-4e70-b7fb-66f36af15e1d
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivery to dpd pickup shop not possible,Unable to deliver to pick-up point. Contact carrier for alternative arrangements,c353684f-6816-41fc-bcbd-28d129ab40d0
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,commercial inside release,Internal activity scan,91349ad2-8859-4778-a6a2-a280b3e2a2e8
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,out for delivery today,Out for delivery,475f6865-4882-4523-8795-9a0d4f8e1d6e
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,in hub parcel expired,Internal activity scan,91349ad2-8859-4778-a6a2-a280b3e2a2e8
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,we ve left a notice about the package,Internal activity scan,91349ad2-8859-4778-a6a2-a280b3e2a2e8
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,delivered,Delivered,d583ab1d-2667-419c-b84e-4320192e1825
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,delivered bfpo hq uk,Delivered,d583ab1d-2667-419c-b84e-4320192e1825
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,return has been processed at the hermes hub and will be with the retailer shortly,In Transit,b3c222da-581b-4b4d-ad4f-8b08d0a997a2
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,ups initiated contact with receiver to collect the import processing fee select pay now where available,Held awaiting tax payment by the receiver,b57205dc-a8ba-4dfe-b958-85b18d25e4bd
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,1436,MSDS required,765b80e3-79e9-4afa-965f-2b630f51ce36
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,warehouse scan,Warehouse Scan,6c58c5e3-ac1b-4278-a29e-3d8b88034a71
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,parcel disposed of due to exceeding maximum shelf life,Parcel disposed of,1a43aeea-2cae-4521-a88d-36cbf583d163
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,returned to sender,Returned to sender,9d2bfb98-0f46-4d06-957b-1bd9fef410ab
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,the sender requested that we return the package,Return of the package requested,e2dfa742-6a87-4e30-97a6-eafec17c2edf
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,damaged after depot sort,Package damaged in transit,c00bf613-506c-423f-b34a-ac3a2ad1fc90
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 11 received by hampton,Delivered to neighbour,5e415cf1-6bd2-4698-982e-5785ebedf07a
0bb863db-1a5d-4688-8212-a842ab236726,UPS UK,the billing option selected is not valid for this package,Internal activity scan,91349ad2-8859-4778-a6a2-a280b3e2a2e8
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,icac,Collection failed,8a60fe2c-105e-41aa-be6f-97e116a411e6
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,i533,Shipment not collected by receiver from pick-up point and will be returned to sender,fd89460e-af3b-49eb-805e-63bf96db9489
66bdc51d-a6ec-4c82-8b6d-ae07fb619028,ParcelForce UK,ibpd,Delivered,d583ab1d-2667-419c-b84e-4320192e1825
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,1502,In Transit,b3c222da-581b-4b4d-ad4f-8b08d0a997a2
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,redelivery request service upgrade made for sun 16 june 2024 between 07 00 and 22 00 upgrade acknowledgement sms notification sent,New instructions received - We updated the delivery information for your package,0b6f2e65-c1a7-4b3d-90da-de65f31b6160
6e28e500-05f1-4745-9878-e4952ac9afeb,Hermes UK,damaged after pshop driver collection,Package damaged in transit,c00bf613-506c-423f-b34a-ac3a2ad1fc90
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 2 received by jones,Delivered to neighbour,5e415cf1-6bd2-4698-982e-5785ebedf07a
5d0e294f-b483-4ba8-bd53-7f058427f35a,DPD UK,delivered left at 195 received by toolstation,Delivered to neighbour,5e415cf1-6bd2-4698-982e-5785ebedf07a
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,1505,Shipment collected,7e750f7e-2154-4c2f-836e-007e7786480c
5f3885a8-03c7-4f94-adb4-5ea4d5c4d0e0,UPS Ireland,duties or taxes are due on this package,Import charges are due,cba98df5-340e-469c-bfe1-2a6cc80a78b5
