carrierId,carrierName,fromDate,toDate,scanDescription,normalizedScan,frequency,status
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019606+00:00,1054,1054,17,Not Matched
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019617+00:00,1055,1055,470,Not Matched
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019618+00:00,1417,1417,487,Not Matched
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019623+00:00,1419,1419,36,Not Matched
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019628+00:00,1434,1434,27,Not Matched
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.101963+00:00,1436,1436,2520,Not Matched
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019631+00:00,1446,1446,1177,Not Matched
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019633+00:00,1447,1447,56,Not Matched
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019634+00:00,1460,1460,311,Not Matched
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019635+00:00,1466,1466,467,Not Matched
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019636+00:00,1487,1487,359,Not Matched
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019637+00:00,1488,1488,51,Not Matched
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019638+00:00,1497,1497,1,Not Matched
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019639+00:00,1502,1502,1876,Not Matched
