carrierId,carrierName,fromDate,toDate,scanDescription,normalizedScan,frequency,status,normalizedScan_decoded,proposed_sg_gpt_gpt-4o-mini_10,proposed_sg_gpt_gpt-4o-mini
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019606+00:00,1054,1054,17,Not Matched,1054 Insufficient Packaging,Insufficient packaging. Corrective actions underway,Insufficient packaging. Corrective actions underway
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019617+00:00,1055,1055,470,Not Matched,1055 Damaged,Package damaged in transit,Package damaged in transit
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019618+00:00,1417,1417,487,Not Matched,1417 Denied Party Screening,new__new__Denied Party Screening,new__new__Denied Party Screening
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019623+00:00,1419,1419,36,Not Matched,1419 Incorrectly labelled,new__Labeling error by sender,new__Labeling error by sender
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019628+00:00,1434,1434,27,Not Matched,1419 Incorrectly labelled,new__Labeling error by sender,new__Labeling error by sender
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.101963+00:00,1436,1436,2520,Not Matched,1436 MSDS required,MSDS required,MSDS required
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019631+00:00,1446,1446,1177,Not Matched,1446 Partial Departed UK Hub,In Transit,In Transit
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019633+00:00,1447,1447,56,Not Matched,1447 Money,new__new__Money,new__new__Money
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019634+00:00,1460,1460,311,Not Matched,1460 Consignee Instructions - Authorised change of delivery address,Change of delivery address,Change of delivery address
01f30ac3-4496-408f-b1b0-dc6ed4a36006,Norsk UK,0001-01-01T00:00:00,2025-04-10T12:10:21.1019635+00:00,1466,1466,467,Not Matched,1466 Prohibited item,new__new__Prohibited item,new__new__Prohibited item
