_id,tracking_number,carrier,scans[0].timestamp,scans[0].scan,scans[1].timestamp,scans[1].scan,scans[2].timestamp,scans[2].scan,scans[3].timestamp,scans[3].scan,scans[4].timestamp,scans[4].scan,scans[5].timestamp,scans[5].scan,scans[6].timestamp,scans[6].scan,scans[7].timestamp,scans[7].scan,scans[8].timestamp,scans[8].scan,scans[9].timestamp,scans[9].scan,scans[10].timestamp,scans[10].scan,scans[11].timestamp,scans[11].scan,scans[12].timestamp,scans[12].scan,scans[13].timestamp,scans[13].scan,scans[14].timestamp,scans[14].scan,scans[15].timestamp,scans[15].scan,scans[16].timestamp,scans[16].scan,scans[17].timestamp,scans[17].scan,scans[18].timestamp,scans[18].scan
67d7c10a380fe7c6439dc934,a1311767-5892-48ef-b302-f87cb389a475-37756,01f30ac3-4496-408f-b1b0-dc6ed4a36006,2024-10-18T14:06:53,shipment manifested,2024-10-22T13:15:05,in transit,2024-10-22T18:30:06,warehouse scan,2024-10-22T21:15:04,in transit,2024-10-22T22:45:03,warehouse scan,2024-10-22T23:45:04,in transit,2024-10-23T11:45:04,warehouse scan,2024-10-23T15:15:21,in transit,2024-10-23T20:45:05,in transit,2024-10-24T06:00:04,warehouse scan,2024-10-24T11:45:05,customs clearance in progress,2024-10-31T10:22:08,additional information or paperwork required for customs clearance,,,,,,,,,,,,,,
67d7c10a380fe7c6439e08e9,50985557-4c2b-43ab-ac0a-75d10d11dc50-34618,01f30ac3-4496-408f-b1b0-dc6ed4a36006,2025-01-04T13:54:38,shipment manifested,2025-01-04T19:15:03,in transit,2025-01-06T18:15:05,warehouse scan,2025-01-06T20:15:15,in transit,2025-01-06T21:30:11,warehouse scan,2025-01-06T22:00:14,in transit,2025-01-06T22:30:11,customs clearance in progress,2025-01-06T22:30:11,customs clearance delay,2025-01-06T23:45:40,in transit,2025-01-07T00:00:53,customs clearance in progress,2025-01-07T00:45:33,customs clearance in progress,2025-01-07T00:45:33,warehouse scan,2025-01-07T01:15:15,in transit,2025-01-07T09:19:04,additional information or paperwork required for customs clearance,,,,,,,,,,
67d7c10a380fe7c6439e10c4,0461c01e-4b22-45a0-87ae-dd1386fbb029-24341,01f30ac3-4496-408f-b1b0-dc6ed4a36006,2024-12-22T22:36:40,shipment manifested,2024-12-23T11:15:12,in transit,2024-12-23T17:00:07,warehouse scan,2024-12-23T18:30:05,in transit,2024-12-23T19:45:38,customs clearance in progress,2024-12-23T22:00:08,in transit,2024-12-23T22:00:08,warehouse scan,2024-12-23T23:45:08,in transit,2024-12-24T00:15:13,warehouse scan,2024-12-24T02:15:05,in transit,2024-12-24T06:30:06,customs clearance in progress,2024-12-24T06:30:06,in transit,2024-12-24T09:00:26,warehouse scan,2024-12-24T10:47:05,additional information or paperwork required for customs clearance,,,,,,,,,,
67d7c10a380fe7c6439e16f1,32671fa5-7a0f-4a67-9ef0-623be59c4e62-98464,01f30ac3-4496-408f-b1b0-dc6ed4a36006,2024-12-14T11:38:40,shipment manifested,2024-12-17T20:30:22,warehouse scan,2024-12-17T22:00:03,in transit,2024-12-17T23:16:29,warehouse scan,2024-12-18T00:30:17,in transit,2024-12-18T09:15:21,in transit,2024-12-18T23:45:10,warehouse scan,2024-12-19T02:30:08,in transit,2024-12-19T09:02:55,warehouse scan,2024-12-19T12:15:07,in transit,2024-12-19T12:15:07,warehouse scan,2024-12-19T12:15:07,in transit,2024-12-19T14:00:19,customs clearance in progress,2024-12-31T10:40:23,additional information or paperwork required for customs clearance,,,,,,,,,,
67d7c10a380fe7c6439e1b4a,39789625-d6a0-430e-bf86-3235242b0a36-10470,01f30ac3-4496-408f-b1b0-dc6ed4a36006,2024-10-24T17:12:57,shipment manifested,2024-10-25T18:45:11,warehouse scan,2024-10-25T20:00:04,in transit,2024-10-25T22:00:06,in transit,2024-10-25T23:30:04,warehouse scan,2024-10-26T00:00:07,in transit,2024-10-26T01:00:04,warehouse scan,2024-10-29T17:30:03,customs clearance in progress,2024-10-31T04:00:05,transit delay,2024-11-01T04:15:05,in transit,2024-11-01T11:00:13,handover to broker for clearance,2024-11-04T04:45:05,warehouse scan,2024-11-06T12:00:08,customs clearance in progress,2024-11-07T15:57:46,additional information or paperwork required for customs clearance,,,,,,,,,,
67d7c10b380fe7c6439e49e0,a760ff80-441b-487f-a6b2-589c406f7d46-59135,01f30ac3-4496-408f-b1b0-dc6ed4a36006,2024-12-30T08:15:02,in transit,2024-12-30T08:15:02,in transit,2024-12-31T07:15:09,in transit,2024-12-31T07:15:09,in transit,2024-12-31T13:00:25,in transit,2024-12-31T13:00:25,in transit,2025-01-03T04:15:04,out for delivery,2025-01-03T04:15:04,warehouse scan,2025-01-03T04:15:04,out for delivery,2025-01-03T04:15:04,warehouse scan,2025-01-03T06:30:10,in transit,2025-01-03T06:30:10,in transit,2025-01-03T15:45:19,customs clearance in progress,2025-01-03T15:45:19,customs clearance in progress,2025-01-06T11:21:28,additional information or paperwork required for customs clearance,,,,,,,,
67d7c10b380fe7c6439e6831,a760ff80-441b-487f-a6b2-589c406f7d46-59135,01f30ac3-4496-408f-b1b0-dc6ed4a36006,2024-12-30T08:15:02,in transit,2024-12-30T08:15:02,in transit,2024-12-31T07:15:09,in transit,2024-12-31T07:15:09,in transit,2024-12-31T13:00:25,in transit,2024-12-31T13:00:25,in transit,2025-01-03T04:15:04,out for delivery,2025-01-03T04:15:04,warehouse scan,2025-01-03T04:15:04,out for delivery,2025-01-03T04:15:04,warehouse scan,2025-01-03T06:30:10,in transit,2025-01-03T06:30:10,in transit,2025-01-03T15:45:19,customs clearance in progress,2025-01-03T15:45:19,customs clearance in progress,2025-01-06T11:21:28,additional information or paperwork required for customs clearance,2025-01-06T11:21:28,additional information or paperwork required for customs clearance,,,,,,
67d7c10b380fe7c6439ea92b,49541bb0-31a1-4a68-96fe-f2cfe4997e09-93656,01f30ac3-4496-408f-b1b0-dc6ed4a36006,2024-12-18T12:54:18,shipment manifested,2024-12-18T16:30:06,in transit,2024-12-19T18:45:07,customs clearance in progress,2024-12-19T18:45:07,warehouse scan,2024-12-20T18:45:03,in transit,2024-12-20T20:00:13,in transit,2024-12-20T20:00:13,warehouse scan,2024-12-20T20:30:13,warehouse scan,2024-12-20T21:30:51,in transit,2024-12-20T22:15:13,in transit,2024-12-20T22:15:13,warehouse scan,2024-12-20T23:15:06,in transit,2024-12-21T00:45:05,warehouse scan,2024-12-21T03:45:07,in transit,2024-12-21T09:45:07,warehouse scan,2024-12-22T17:30:05,customs clearance in progress,2024-12-23T04:45:02,in transit,2024-12-23T05:15:03,customs clearance in progress,2024-12-30T11:31:45,additional information or paperwork required for customs clearance
67d7c107380fe7c6439a389e,83585db8-92df-4138-bf73-fbf25c67a8fe-47681,01f30ac3-4496-408f-b1b0-dc6ed4a36006,2024-10-30T08:06:38,shipment manifested,2024-10-30T19:00:12,additional information or paperwork required for customs clearance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c107380fe7c6439abb1e,b10a2444-9455-46f1-88d3-bd00a7bd5132-41302,01f30ac3-4496-408f-b1b0-dc6ed4a36006,2024-12-27T10:51:46,shipment manifested,2024-12-27T15:00:18,in transit,2024-12-30T18:00:15,additional information or paperwork required for customs clearance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
