_id,tracking_number,carrier,scans[0].timestamp,scans[0].scan,scans[1].timestamp,scans[1].scan,scans[2].timestamp,scans[2].scan,scans[3].timestamp,scans[3].scan,scans[4].timestamp,scans[4].scan,scans[5].timestamp,scans[5].scan,scans[6].timestamp,scans[6].scan,scans[7].timestamp,scans[7].scan,scans[8].timestamp,scans[8].scan,scans[9].timestamp,scans[9].scan,scans[10].timestamp,scans[10].scan,scans[11].timestamp,scans[11].scan,scans[12].timestamp,scans[12].scan,scans[13].timestamp,scans[13].scan,scans[14].timestamp,scans[14].scan,scans[15].timestamp,scans[15].scan,scans[16].timestamp,scans[16].scan,scans[17].timestamp,scans[17].scan,scans[18].timestamp,scans[18].scan,scans[19].timestamp,scans[19].scan,scans[20].timestamp,scans[20].scan,scans[21].timestamp,scans[21].scan,scans[22].timestamp,scans[22].scan,scans[23].timestamp,scans[23].scan,scans[24].timestamp,scans[24].scan,scans[25].timestamp,scans[25].scan,scans[26].timestamp,scans[26].scan,scans[27].timestamp,scans[27].scan,scans[28].timestamp,scans[28].scan,scans[29].timestamp,scans[29].scan,scans[30].timestamp,scans[30].scan,scans[31].timestamp,scans[31].scan,scans[32].timestamp,scans[32].scan,scans[33].timestamp,scans[33].scan,scans[34].timestamp,scans[34].scan,scans[35].timestamp,scans[35].scan,scans[36].timestamp,scans[36].scan,scans[37].timestamp,scans[37].scan,scans[38].timestamp,scans[38].scan
67d7c106380fe7c6439a192e,626e2a2c-190a-46ec-a823-484c469ba706-12516,fede808b-fbf4-449c-8816-41aae5aa62ec,2025-01-05T11:49:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d44a9,5577be87-1bc5-4e93-aa3a-f78f311e579d-78435,fede808b-fbf4-449c-8816-41aae5aa62ec,2025-01-02T03:59:00,in transit,2025-01-02T05:00:00,warehouse scan,2025-01-02T05:27:00,warehouse scan,2025-01-02T05:27:00,in transit,2025-01-02T05:27:00,warehouse scan,2025-01-02T05:31:00,in transit,2025-01-02T05:31:00,in transit,2025-01-02T05:35:00,warehouse scan,2025-01-02T05:35:00,warehouse scan,2025-01-02T07:24:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d45db,8b29524f-8d8b-4a14-a077-4e9ae341cdf4-18910,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-12-10T00:51:00,in transit,2024-12-10T03:40:00,in transit,2024-12-10T14:25:00,in transit,2024-12-10T19:47:00,warehouse scan,2024-12-10T21:21:00,in transit,2024-12-10T21:21:00,in transit,2024-12-10T21:21:00,in transit,2024-12-10T21:21:00,in transit,2024-12-11T00:41:00,customs clearance delay,2024-12-11T00:41:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d49b1,5bb3d668-32d0-489f-bf31-83a8bbb8f835-50180,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-12-10T00:53:00,in transit,2024-12-10T03:40:00,in transit,2024-12-10T14:25:00,in transit,2024-12-10T16:41:00,customs clearance delay,2024-12-10T19:47:00,warehouse scan,2024-12-10T20:49:00,in transit,2024-12-10T20:49:00,in transit,2024-12-10T20:49:00,in transit,2024-12-10T20:49:00,in transit,2024-12-11T00:41:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d49f7,6bca111e-bbb6-4cce-adeb-8235afd04f60-84868,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-12-09T19:13:34,shipment manifested,2024-12-10T12:29:00,shipment collected,2024-12-10T20:12:00,in transit,2024-12-10T22:35:00,warehouse scan,2024-12-11T02:56:00,in transit,2024-12-11T04:05:00,in transit,2024-12-13T20:52:00,in transit,2024-12-16T03:45:00,warehouse scan,2024-12-17T04:25:00,in transit,2024-12-17T13:48:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d4b9b,LTN348099646N1,b1224877-ddcd-4bc9-a670-16b856255a36,2025-01-09T05:42:26,shipment manifested,2025-01-13T10:43:03,in transit,2025-01-13T10:43:04,in transit,2025-01-13T12:32:08,in transit,2025-01-13T12:32:14,warehouse scan,2025-01-13T12:34:07,in transit,2025-01-13T12:34:13,in transit,2025-01-20T22:55:00,in transit,2025-01-21T05:03:00,in transit,2025-01-21T05:03:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d4e05,0599fa71-2602-4ff4-9c11-46e7153b1e24-20438,fede808b-fbf4-449c-8816-41aae5aa62ec,2025-01-16T16:52:00,in transit,2025-01-16T16:54:00,in transit,2025-01-16T17:53:00,in transit,2025-01-16T20:38:00,warehouse scan,2025-01-17T03:06:00,in transit,2025-01-17T04:04:00,in transit,2025-01-17T08:04:00,in transit,2025-01-17T09:18:00,warehouse scan,2025-01-17T09:18:00,warehouse scan,2025-01-17T11:24:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d4e08,0599fa71-2602-4ff4-9c11-46e7153b1e24-56263,fede808b-fbf4-449c-8816-41aae5aa62ec,2025-01-16T16:44:00,in transit,2025-01-16T16:45:00,in transit,2025-01-16T17:58:00,in transit,2025-01-16T20:38:00,warehouse scan,2025-01-17T03:06:00,in transit,2025-01-17T04:04:00,in transit,2025-01-17T08:04:00,in transit,2025-01-17T09:18:00,warehouse scan,2025-01-17T09:18:00,warehouse scan,2025-01-17T11:24:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d50b1,2ea8968a-49e2-452d-a0e7-efbfaf83dd72-69132,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-11-29T11:58:55,shipment manifested,2024-12-03T15:18:00,shipment collected,2024-12-03T17:03:00,in transit,2024-12-04T03:46:00,in transit,2024-12-04T03:46:00,released by customs. clearance complete.,2024-12-04T04:01:00,in transit,2024-12-10T09:34:00,in transit,2024-12-10T13:47:00,warehouse scan,2024-12-11T09:29:00,in transit,2024-12-11T15:15:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d5104,76135619-5e54-4107-bb83-53671f817369-54260,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-12-06T21:25:18,shipment manifested,2024-12-09T11:41:00,shipment collected,2024-12-09T15:45:00,in transit,2024-12-09T19:44:00,in transit,2024-12-09T19:44:00,in transit,2024-12-09T22:09:00,in transit,2024-12-09T22:09:00,released by customs. clearance complete.,2024-12-10T05:14:00,in transit,2024-12-12T23:24:00,in transit,2024-12-13T17:53:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d5215,7936afeb-46dd-488b-9557-9ec57a2fb5cf-30118,fede808b-fbf4-449c-8816-41aae5aa62ec,2025-01-02T17:20:43,shipment manifested,2025-01-06T13:43:00,shipment collected,2025-01-06T16:22:00,in transit,2025-01-06T17:59:00,in transit,2025-01-07T08:43:00,in transit,2025-01-07T08:59:00,warehouse scan,2025-01-07T14:13:00,in transit,2025-01-07T21:51:00,in transit,2025-01-12T03:50:00,in transit,2025-01-12T07:17:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d80bd,7153f2a1-71c7-4ff8-9209-9031875712da-25024,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-10-25T14:33:33,shipment manifested,2024-10-25T19:17:00,shipment dropped off awaiting carrier collection,2024-10-28T13:49:00,shipment collected,2024-10-28T18:16:00,in transit,2024-10-29T01:05:00,in transit,2024-10-29T07:23:00,in transit,2024-10-29T20:40:00,warehouse scan,2024-10-30T08:26:00,in transit,2024-10-30T13:21:00,in transit,2024-10-31T22:51:00,in transit,2024-11-01T08:10:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d81aa,5577be87-1bc5-4e93-aa3a-f78f311e579d-78435,fede808b-fbf4-449c-8816-41aae5aa62ec,2025-01-02T03:59:00,in transit,2025-01-02T05:00:00,warehouse scan,2025-01-02T05:27:00,warehouse scan,2025-01-02T05:27:00,in transit,2025-01-02T05:27:00,warehouse scan,2025-01-02T05:31:00,in transit,2025-01-02T05:31:00,in transit,2025-01-02T05:35:00,warehouse scan,2025-01-02T05:35:00,warehouse scan,2025-01-02T07:24:00,customs clearance delay,2025-01-02T07:24:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d82b3,8b29524f-8d8b-4a14-a077-4e9ae341cdf4-70552,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-12-10T00:52:00,in transit,2024-12-10T03:40:00,in transit,2024-12-10T14:25:00,in transit,2024-12-10T16:41:00,customs clearance delay,2024-12-10T19:47:00,warehouse scan,2024-12-10T21:18:00,in transit,2024-12-10T21:18:00,in transit,2024-12-10T21:18:00,in transit,2024-12-10T21:18:00,in transit,2024-12-10T21:18:00,in transit,2024-12-11T00:41:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d853d,5bb3d668-32d0-489f-bf31-83a8bbb8f835-50180,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-12-10T00:53:00,in transit,2024-12-10T03:40:00,in transit,2024-12-10T14:25:00,in transit,2024-12-10T16:41:00,customs clearance delay,2024-12-10T19:47:00,warehouse scan,2024-12-10T20:49:00,in transit,2024-12-10T20:49:00,in transit,2024-12-10T20:49:00,in transit,2024-12-10T20:49:00,in transit,2024-12-11T00:41:00,customs clearance delay,2024-12-11T00:41:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d8542,5bb3d668-32d0-489f-bf31-83a8bbb8f835-76271,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-12-06T06:38:41,shipment manifested,2024-12-09T09:40:00,shipment collected,2024-12-09T15:24:00,in transit,2024-12-09T18:22:00,in transit,2024-12-09T18:25:00,released by customs. clearance complete.,2024-12-10T16:41:00,customs clearance delay,2024-12-10T18:48:00,in transit,2024-12-10T18:53:00,in transit,2024-12-10T21:38:00,in transit,2024-12-10T22:39:00,warehouse scan,2024-12-11T00:41:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d85ab,4aa390a5-adff-48ea-ab30-8e444c13b549-50292,fede808b-fbf4-449c-8816-41aae5aa62ec,2025-01-06T12:46:50,shipment manifested,2025-01-07T14:51:00,shipment dropped off awaiting carrier collection,2025-01-07T15:01:00,shipment collected,2025-01-07T17:28:00,in transit,2025-01-07T20:45:00,warehouse scan,2025-01-08T03:01:00,in transit,2025-01-08T03:01:00,released by customs. clearance complete.,2025-01-08T03:42:00,in transit,2025-01-08T04:56:00,in transit,2025-01-08T11:01:00,warehouse scan,2025-01-08T16:11:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d85cc,ec98ba2e-231c-4253-861c-aa864aa27555-55484,fede808b-fbf4-449c-8816-41aae5aa62ec,2025-01-01T00:02:00,in transit,2025-01-01T02:12:00,in transit,2025-01-03T10:33:00,in transit,2025-01-03T10:33:00,in transit,2025-01-04T01:17:00,warehouse scan,2025-01-04T01:17:00,warehouse scan,2025-01-04T01:18:00,in transit,2025-01-04T01:18:00,released by customs. clearance complete.,2025-01-04T01:18:00,in transit,2025-01-04T01:18:00,released by customs. clearance complete.,2025-01-04T14:18:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d87ca,dc0064c3-69b0-4a56-8fa9-b6c1ff8ea551-70008,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-12-27T19:25:15,shipment manifested,2025-01-03T11:22:00,shipment collected,2025-01-03T15:39:00,in transit,2025-01-03T20:02:00,in transit,2025-01-04T11:40:00,in transit,2025-01-04T16:40:00,warehouse scan,2025-01-05T09:55:00,warehouse scan,2025-01-05T10:15:00,in transit,2025-01-07T19:56:00,in transit,2025-01-09T15:50:00,in transit,2025-01-09T20:30:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d8891,9d0c16e2-de86-4321-aaf5-33cce701eff8-51120,fede808b-fbf4-449c-8816-41aae5aa62ec,2025-01-09T13:42:56,shipment manifested,2025-01-09T14:14:00,shipment dropped off awaiting carrier collection,2025-01-09T16:59:00,shipment collected,2025-01-09T17:48:00,in transit,2025-01-09T23:30:00,warehouse scan,2025-01-10T00:38:00,in transit,2025-01-10T02:19:00,in transit,2025-01-10T14:56:00,in transit,2025-01-11T12:11:00,warehouse scan,2025-01-11T12:12:00,in transit,2025-01-12T16:19:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d889a,0599fa71-2602-4ff4-9c11-46e7153b1e24-20438,fede808b-fbf4-449c-8816-41aae5aa62ec,2025-01-16T16:52:00,in transit,2025-01-16T16:54:00,in transit,2025-01-16T17:53:00,in transit,2025-01-16T20:38:00,warehouse scan,2025-01-17T03:06:00,in transit,2025-01-17T04:04:00,in transit,2025-01-17T08:04:00,in transit,2025-01-17T09:18:00,warehouse scan,2025-01-17T09:18:00,warehouse scan,2025-01-17T11:24:00,customs clearance delay,2025-01-17T11:24:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10a380fe7c6439db407,7428ea51-e741-46d6-9407-25ebe16e2e80-46560,fede808b-fbf4-449c-8816-41aae5aa62ec,2025-01-01T23:37:20,shipment manifested,2025-01-03T17:09:00,shipment collected,2025-01-03T17:10:00,in transit,2025-01-03T17:10:00,in transit,2025-01-04T06:52:00,in transit,2025-01-04T06:57:00,warehouse scan,2025-01-04T13:32:00,in transit,2025-01-05T08:38:00,in transit,2025-01-06T17:01:00,in transit,2025-01-06T23:00:00,warehouse scan,2025-01-07T01:22:00,in transit,2025-01-07T02:54:00,customs clearance delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
