_id,tracking_number,carrier,scans[0].timestamp,scans[0].scan,scans[1].timestamp,scans[1].scan,scans[2].timestamp,scans[2].scan,scans[3].timestamp,scans[3].scan,scans[4].timestamp,scans[4].scan,scans[5].timestamp,scans[5].scan,scans[6].timestamp,scans[6].scan,scans[7].timestamp,scans[7].scan,scans[8].timestamp,scans[8].scan,scans[9].timestamp,scans[9].scan,scans[10].timestamp,scans[10].scan,scans[11].timestamp,scans[11].scan,scans[12].timestamp,scans[12].scan,scans[13].timestamp,scans[13].scan,scans[14].timestamp,scans[14].scan,scans[15].timestamp,scans[15].scan,scans[16].timestamp,scans[16].scan,scans[17].timestamp,scans[17].scan,scans[18].timestamp,scans[18].scan
67d7c109380fe7c6439d431c,JD014600011936593870,a1630cac-f11e-45eb-ba58-de00a0c48748,2025-01-09T15:37:32,shipment collected,2025-01-09T20:03:41,in transit,2025-01-09T20:03:58,in transit,2025-01-09T23:41:16,in transit,2025-01-10T12:20:00,shipment on hold,2025-01-10T12:22:00,in transit,2025-01-11T04:28:28,in transit,2025-01-13T14:58:46,in transit,2025-01-13T15:37:58,customs clearance in progress,2025-01-13T15:37:58,processed for clearance,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d4715,5743363220,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-12-31T14:22:50,shipment collected,2024-12-31T18:31:44,in transit,2024-12-31T18:37:58,in transit,2025-01-02T02:50:19,customs clearance in progress,2025-01-02T02:53:44,customs clearance in progress,2025-01-02T03:06:27,customs clearance in progress,2025-01-02T03:24:15,in transit,2025-01-02T04:43:11,in transit,2025-01-02T04:54:10,customs clearance in progress,2025-01-02T04:54:10,processed for clearance,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d558b,JD014600011917707385,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-12-24T14:26:14,shipment collected,2024-12-24T21:02:21,in transit,2024-12-24T21:02:58,in transit,2024-12-25T23:47:40,in transit,2024-12-26T06:10:39,shipment on hold,2024-12-27T00:09:29,in transit,2024-12-27T06:39:25,in transit,2024-12-27T09:35:03,in transit,2024-12-27T10:10:33,customs clearance in progress,2024-12-27T10:10:33,processed for clearance,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d5c41,JD014600011932748388,a1630cac-f11e-45eb-ba58-de00a0c48748,2025-01-07T13:07:18,shipment collected,2025-01-07T19:48:22,in transit,2025-01-07T19:48:58,in transit,2025-01-09T00:23:46,in transit,2025-01-09T00:24:01,shipment on hold,2025-01-09T01:29:04,in transit,2025-01-09T03:28:58,in transit,2025-01-09T14:42:02,in transit,2025-01-09T15:05:09,customs clearance in progress,2025-01-09T15:05:09,processed for clearance,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d5cfd,7528342463,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-12-20T10:18:27,shipment manifested,2024-12-20T11:14:07,shipment collected,2024-12-20T18:04:59,in transit,2024-12-20T18:05:58,in transit,2025-01-01T02:15:47,in transit,2025-01-01T02:17:06,shipment on hold,2025-01-02T01:06:30,in transit,2025-01-02T03:47:58,in transit,2025-01-02T15:25:00,in transit,2025-01-02T15:35:00,processed for clearance,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d6422,1412495696,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-12-30T09:48:42,shipment collected,2024-12-30T18:35:16,in transit,2024-12-30T20:51:58,in transit,2024-12-31T01:30:40,customs clearance in progress,2024-12-31T01:51:31,in transit,2024-12-31T02:21:34,customs clearance in progress,2024-12-31T02:31:31,in transit,2024-12-31T03:13:27,in transit,2024-12-31T04:45:20,in transit,2024-12-31T04:58:38,processed for clearance,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d6559,JD014600011915609415,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-12-20T10:18:27,shipment manifested,2024-12-20T11:14:07,shipment collected,2024-12-20T18:04:59,in transit,2024-12-20T18:05:58,in transit,2025-01-01T02:15:47,in transit,2025-01-01T02:17:06,shipment on hold,2025-01-02T01:06:30,in transit,2025-01-02T03:47:58,in transit,2025-01-02T15:25:00,in transit,2025-01-02T15:35:00,processed for clearance,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d6c01,JD014600011811189523,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-10-21T12:53:16,shipment collected,2024-10-21T20:20:44,in transit,2024-10-21T20:21:58,in transit,2024-10-22T15:52:40,in transit,2024-10-22T17:00:10,processed for clearance,2024-10-22T17:00:10,customs clearance in progress,2024-10-22T23:14:14,in transit,2024-10-23T05:21:37,in transit,2024-10-23T09:13:17,in transit,2024-10-23T09:25:33,processed for clearance,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d6c98,JD014600011916678755,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-12-23T13:01:07,shipment collected,2024-12-23T19:44:16,in transit,2024-12-23T19:44:58,in transit,2024-12-27T06:04:48,in transit,2024-12-27T06:19:06,customs clearance in progress,2024-12-27T06:19:06,processed for clearance,2024-12-27T15:01:51,in transit,2024-12-27T20:07:20,in transit,2025-01-02T09:03:33,in transit,2025-01-02T09:37:57,processed for clearance,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d70d4,JD014600011810154930,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-10-22T12:56:00,shipment collected,2024-10-22T18:14:07,in transit,2024-10-22T18:18:58,in transit,2024-10-22T20:03:37,in transit,2024-10-23T10:47:00,shipment on hold,2024-10-23T20:12:43,in transit,2024-10-23T23:12:55,in transit,2024-10-25T09:30:20,in transit,2024-10-25T09:40:09,customs clearance in progress,2024-10-25T09:40:09,processed for clearance,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d836e,JD014600011928781527,a1630cac-f11e-45eb-ba58-de00a0c48748,2025-01-03T15:48:47,shipment collected,2025-01-03T20:38:41,in transit,2025-01-03T20:39:58,in transit,2025-01-04T03:04:17,in transit,2025-01-04T04:03:51,shipment on hold,2025-01-06T23:02:59,in transit,2025-01-07T08:35:00,shipment on hold,2025-01-08T05:21:23,in transit,2025-01-08T06:32:58,in transit,2025-01-08T22:01:15,in transit,2025-01-08T22:34:35,processed for clearance,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d83d0,9816497596,a1630cac-f11e-45eb-ba58-de00a0c48748,2025-01-09T12:08:39,shipment collected,2025-01-09T19:41:17,in transit,2025-01-09T20:00:58,in transit,2025-01-09T21:20:23,in transit,2025-01-09T23:55:10,customs clearance in progress,2025-01-10T01:28:58,in transit,2025-01-10T13:36:06,in transit,2025-01-10T14:23:05,customs clearance in progress,2025-01-10T16:27:25,in transit,2025-01-11T10:08:09,in transit,2025-01-11T11:43:10,processed for clearance,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d9a57,7345313765,a1630cac-f11e-45eb-ba58-de00a0c48748,2025-01-07T13:07:18,shipment collected,2025-01-07T19:48:22,in transit,2025-01-07T19:48:58,in transit,2025-01-09T00:23:46,in transit,2025-01-09T00:24:01,shipment on hold,2025-01-09T01:29:04,in transit,2025-01-09T03:28:58,in transit,2025-01-09T11:33:35,customs clearance in progress,2025-01-09T14:42:02,in transit,2025-01-09T15:05:09,customs clearance in progress,2025-01-09T15:05:09,processed for clearance,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d9fb1,4798481704,a1630cac-f11e-45eb-ba58-de00a0c48748,2025-01-06T15:25:02,shipment collected,2025-01-06T21:13:10,customs clearance in progress,2025-01-07T02:46:58,in transit,2025-01-07T03:27:54,customs clearance in progress,2025-01-07T08:34:45,in transit,2025-01-07T10:55:15,in transit,2025-01-08T03:32:02,customs clearance in progress,2025-01-08T05:49:11,in transit,2025-01-08T06:54:58,in transit,2025-01-08T10:41:27,in transit,2025-01-08T14:10:43,processed for clearance,,,,,,,,,,,,,,,,
67d7c10a380fe7c6439db84d,4805296425,a1630cac-f11e-45eb-ba58-de00a0c48748,2025-01-07T19:28:59,shipment collected,2025-01-07T22:07:59,in transit,2025-01-07T22:08:58,in transit,2025-01-09T02:27:39,in transit,2025-01-09T07:46:02,shipment on hold,2025-01-09T11:50:36,in transit,2025-01-09T11:59:58,in transit,2025-01-09T20:03:27,customs clearance in progress,2025-01-09T20:05:28,customs clearance in progress,2025-01-09T21:02:50,customs clearance in progress,2025-01-10T03:34:10,in transit,2025-01-10T03:54:30,processed for clearance,,,,,,,,,,,,,,
67d7c10a380fe7c6439dcb09,7297636150,a1630cac-f11e-45eb-ba58-de00a0c48748,2025-01-09T14:23:45,shipment collected,2025-01-09T21:29:06,in transit,2025-01-09T21:29:58,in transit,2025-01-11T07:34:18,customs clearance in progress,2025-01-11T07:45:27,customs clearance in progress,2025-01-11T08:08:01,in transit,2025-01-11T08:10:46,customs clearance in progress,2025-01-11T08:34:18,in transit,2025-01-11T09:32:40,in transit,2025-01-11T10:18:41,in transit,2025-01-12T11:14:17,customs clearance in progress,2025-01-12T11:14:17,processed for clearance,,,,,,,,,,,,,,
67d7c10a380fe7c6439dd14a,7291797715,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-10-23T21:37:03,in transit,2024-10-23T21:49:58,in transit,2024-10-24T06:53:58,in transit,2024-10-24T11:57:10,customs clearance in progress,2024-10-24T12:02:37,customs clearance in progress,2024-10-24T18:47:10,customs clearance in progress,2024-10-24T20:18:52,in transit,2024-10-24T20:19:31,in transit,2024-10-25T02:44:04,in transit,2024-10-25T03:19:02,customs clearance in progress,2024-10-25T03:20:03,customs clearance in progress,2024-10-25T04:01:15,processed for clearance,,,,,,,,,,,,,,
67d7c10a380fe7c6439dd305,JD014600011928779880,a1630cac-f11e-45eb-ba58-de00a0c48748,2025-01-03T09:55:49,shipment collected,2025-01-03T19:39:48,in transit,2025-01-03T21:35:50,in transit,2025-01-04T17:00:35,in transit,2025-01-04T17:02:00,shipment on hold,2025-01-04T18:37:49,in transit,2025-01-07T10:40:23,in transit,2025-01-07T14:57:48,shipment on hold,2025-01-08T05:20:44,in transit,2025-01-08T06:32:58,in transit,2025-01-08T22:05:08,in transit,2025-01-08T22:36:35,processed for clearance,,,,,,,,,,,,,,
67d7c10a380fe7c6439de170,1892938795,a1630cac-f11e-45eb-ba58-de00a0c48748,2025-01-08T14:23:24,shipment collected,2025-01-08T20:48:39,in transit,2025-01-08T20:49:58,in transit,2025-01-09T05:50:53,in transit,2025-01-09T08:35:00,shipment on hold,2025-01-09T23:47:41,in transit,2025-01-10T05:56:58,in transit,2025-01-10T12:01:30,customs clearance in progress,2025-01-10T13:09:13,customs clearance in progress,2025-01-10T14:28:53,customs clearance in progress,2025-01-10T19:58:29,in transit,2025-01-10T22:20:28,customs clearance in progress,2025-01-10T22:20:28,processed for clearance,,,,,,,,,,,,
67d7c10a380fe7c6439de20f,JD014600011938289299,a1630cac-f11e-45eb-ba58-de00a0c48748,2025-01-09T10:35:18,shipment collected,2025-01-09T16:42:20,in transit,2025-01-09T18:19:58,in transit,2025-01-10T05:36:47,in transit,2025-01-10T12:50:00,shipment on hold,2025-01-10T12:52:00,in transit,2025-01-10T23:56:57,in transit,2025-01-11T23:16:54,in transit,2025-01-12T05:48:40,shipment on hold,2025-01-12T09:27:27,in transit,2025-01-12T09:28:58,in transit,2025-01-13T08:35:16,in transit,2025-01-13T10:37:55,processed for clearance,,,,,,,,,,,,
67d7c10a380fe7c6439de9ae,7347213160,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-12-19T13:10:02,shipment collected,2024-12-19T16:13:25,customs clearance in progress,2024-12-19T17:42:46,in transit,2024-12-19T17:42:58,in transit,2024-12-19T23:21:07,in transit,2024-12-20T00:37:56,customs clearance in progress,2024-12-20T00:45:15,customs clearance in progress,2024-12-20T02:37:33,in transit,2024-12-20T02:53:13,in transit,2024-12-20T08:49:30,in transit,2024-12-20T10:04:13,customs clearance in progress,2024-12-20T10:59:40,in transit,2024-12-20T11:49:40,processed for clearance,,,,,,,,,,,,
67d7c10a380fe7c6439df2b8,2856261203,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-12-30T18:05:37,shipment collected,2024-12-30T20:26:58,in transit,2024-12-30T21:25:30,in transit,2025-01-02T00:03:31,in transit,2025-01-02T08:00:00,shipment on hold,2025-01-03T03:07:40,in transit,2025-01-03T03:27:58,in transit,2025-01-03T19:58:49,in transit,2025-01-03T19:59:15,customs clearance in progress,2025-01-03T20:02:27,customs clearance in progress,2025-01-03T20:22:45,customs clearance in progress,2025-01-03T21:58:51,in transit,2025-01-03T22:24:35,processed for clearance,,,,,,,,,,,,
67d7c10a380fe7c6439df418,2395816021,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-10-22T12:56:00,shipment collected,2024-10-22T18:14:07,in transit,2024-10-22T18:18:58,in transit,2024-10-22T20:03:37,in transit,2024-10-23T10:47:00,shipment on hold,2024-10-23T20:12:43,in transit,2024-10-23T23:12:55,in transit,2024-10-24T12:27:32,in transit,2024-10-25T06:55:08,customs clearance in progress,2024-10-25T07:03:04,customs clearance in progress,2024-10-25T09:30:20,in transit,2024-10-25T09:40:09,customs clearance in progress,2024-10-25T09:40:09,processed for clearance,,,,,,,,,,,,
67d7c10a380fe7c6439df8fe,3028873702,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-12-24T12:27:41,shipment manifested,2024-12-27T14:23:24,shipment collected,2024-12-27T18:09:27,in transit,2024-12-27T18:09:58,in transit,2024-12-30T00:09:17,in transit,2024-12-30T01:32:52,customs clearance in progress,2024-12-30T04:08:51,in transit,2024-12-30T04:40:11,customs clearance in progress,2024-12-30T05:56:16,in transit,2024-12-30T06:26:07,in transit,2024-12-30T08:04:31,in transit,2024-12-30T08:15:21,customs clearance in progress,2024-12-30T08:30:48,processed for clearance,,,,,,,,,,,,
67d7c10a380fe7c6439dfde2,9631035735,a1630cac-f11e-45eb-ba58-de00a0c48748,2025-01-06T13:42:01,shipment collected,2025-01-06T22:37:08,in transit,2025-01-06T23:52:58,in transit,2025-01-07T04:14:00,in transit,2025-01-07T15:41:17,tax payment received,2025-01-08T00:24:40,in transit,2025-01-08T00:59:35,in transit,2025-01-08T06:32:58,in transit,2025-01-08T12:24:04,customs clearance in progress,2025-01-08T12:28:51,customs clearance in progress,2025-01-08T12:43:21,customs clearance in progress,2025-01-08T20:07:25,in transit,2025-01-08T21:20:23,processed for clearance,,,,,,,,,,,,
67d7c10a380fe7c6439e0617,5554767536,a1630cac-f11e-45eb-ba58-de00a0c48748,2025-01-20T15:48:29,shipment collected,2025-01-20T19:21:47,in transit,2025-01-20T19:21:58,in transit,2025-01-20T22:44:44,in transit,2025-01-21T02:41:54,in transit,2025-01-21T04:09:36,in transit,2025-01-21T07:49:13,customs clearance in progress,2025-01-22T05:56:58,in transit,2025-01-22T06:01:58,customs clearance in progress,2025-01-22T06:31:06,customs clearance in progress,2025-01-22T07:13:14,customs clearance in progress,2025-01-22T08:37:58,in transit,2025-01-22T08:57:41,processed for clearance,,,,,,,,,,,,
67d7c10a380fe7c6439e06eb,JD014600011931155890,a1630cac-f11e-45eb-ba58-de00a0c48748,2025-01-06T10:50:07,shipment collected,2025-01-06T10:50:07,shipment collected,2025-01-06T20:33:14,in transit,2025-01-06T20:33:14,in transit,2025-01-06T20:40:58,in transit,2025-01-06T20:40:58,in transit,2025-01-06T21:36:23,in transit,2025-01-06T22:50:14,in transit,2025-01-07T12:53:53,in transit,2025-01-07T16:37:33,in transit,2025-01-08T10:31:06,in transit,2025-01-08T10:31:06,in transit,2025-01-08T10:37:28,processed for clearance,,,,,,,,,,,,
