_id,tracking_number,carrier,scans,scan_group,scan_count
67d7c106380fe7c64399b4e5,TE7585253,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,(2024-10-23T13:20:00) collection failed - parcel not ready,collection failed - parcel not ready,1
67d7c106380fe7c64399b6b8,TE8270074,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,(2024-10-22T14:09:00) collection failed - parcel not ready,collection failed - parcel not ready,1
67d7c106380fe7c64399b9d8,TI5444522,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,(2024-12-31T15:31:00) collection failed - parcel not ready,collection failed - parcel not ready,1
67d7c106380fe7c64399bb0a,TF0258276,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,(2024-10-25T14:59:00) collection failed - parcel not ready,collection failed - parcel not ready,1
67d7c106380fe7c64399bca9,TI5772810,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,(2025-01-02T13:36:00) collection failed - parcel not ready,collection failed - parcel not ready,1
67d7c106380fe7c64399bdd6,TI9279295,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,(2025-01-09T15:19:00) collection failed - shipper not available,collection failed - shipper not available,1
67d7c106380fe7c64399c4b1,TF1522547,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,(2024-10-29T12:15:00) collection failed - parcel not ready,collection failed - parcel not ready,1
67d7c106380fe7c64399c71a,TF1048353,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,(2024-10-28T08:12:00) collection failed - parcel not ready,collection failed - parcel not ready,1
67d7c106380fe7c64399c8a2,TE9506514,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,(2024-10-24T13:39:00) collection failed - parcel not ready,collection failed - parcel not ready,1
67d7c106380fe7c64399ca6a,TF0797165,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,(2024-10-29T12:01:00) collection failed - parcel not ready,collection failed - parcel not ready,1
67d7c109380fe7c6439d419e,H00FRA0002187936,6e28e500-05f1-4745-9878-e4952ac9afeb,"(2025-01-06T16:04:29) shipment manifested,(2025-01-07T08:36:00) collection scheduled,(2025-01-07T18:06:35) collection failed,(2025-01-08T08:22:00) collection scheduled,(2025-01-08T21:12:36) collection failed,(2025-01-09T07:34:00) collection scheduled,(2025-01-09T16:16:18) shipment dropped off awaiting carrier collection,(2025-01-09T17:41:00) shipment collected,(2025-01-09T20:33:43) warehouse scan,(2025-01-09T21:28:29) collection failed",collection failed,10
67d7c109380fe7c6439d6618,H00FRA0002192848,6e28e500-05f1-4745-9878-e4952ac9afeb,"(2025-01-09T22:42:48) shipment manifested,(2025-01-10T07:45:00) collection scheduled,(2025-01-10T20:41:42) collection failed. to be rescheduled.,(2025-01-11T07:39:00) collection scheduled,(2025-01-11T16:30:40) collection failed,(2025-01-12T11:40:41) shipment dropped off awaiting carrier collection,(2025-01-12T18:01:16) shipment collected,(2025-01-13T07:36:00) collection scheduled,(2025-01-13T15:08:30) warehouse scan,(2025-01-13T18:47:13) collection failed. to be rescheduled.",collection failed. to be rescheduled.,10
67d7c109380fe7c6439d70f9,H00FFA0003195346,6e28e500-05f1-4745-9878-e4952ac9afeb,"(2025-01-06T14:37:14) shipment manifested,(2025-01-07T07:26:00) collection scheduled,(2025-01-08T15:35:14) shipment dropped off awaiting carrier collection,(2025-01-09T14:59:24) shipment collected,(2025-01-09T18:25:41) warehouse scan,(2025-01-09T18:26:23) warehouse scan,(2025-01-09T19:25:10) collection failed. to be rescheduled.,(2025-01-10T07:24:00) collection scheduled,(2025-01-10T13:05:13) warehouse scan,(2025-01-10T20:26:55) collection failed. to be rescheduled.",collection failed. to be rescheduled.,10
67d7c109380fe7c6439d77fe,H00FRA0002099698,6e28e500-05f1-4745-9878-e4952ac9afeb,"(2024-10-30T13:47:23) shipment manifested,(2024-10-31T08:08:00) collection scheduled,(2024-10-31T16:53:46) collection failed,(2024-11-01T08:04:00) collection scheduled,(2024-11-01T11:54:40) collection failed,(2024-11-05T07:59:00) collection scheduled,(2024-11-05T13:44:50) collection failed,(2024-11-06T08:08:00) collection scheduled,(2024-11-06T13:00:00) shipment collected,(2024-11-07T19:16:56) collection failed",collection failed,10
67d7c109380fe7c6439d7d16,H00FRA0002197937,6e28e500-05f1-4745-9878-e4952ac9afeb,"(2025-01-14T20:27:55) shipment manifested,(2025-01-16T13:02:06) shipment dropped off awaiting carrier collection,(2025-01-16T16:55:37) shipment collected,(2025-01-16T21:28:30) warehouse scan,(2025-01-16T21:29:18) warehouse scan,(2025-01-17T16:20:50) warehouse scan,(2025-01-17T21:53:02) in transit,(2025-01-18T06:54:00) collection scheduled,(2025-01-18T10:38:28) out for delivery,(2025-01-18T11:39:14) collection failed",collection failed,10
