_id,tracking_number,carrier,scans[0].timestamp,scans[0].scan,scans[1].timestamp,scans[1].scan,scans[2].timestamp,scans[2].scan,scans[3].timestamp,scans[3].scan,scans[4].timestamp,scans[4].scan,scans[5].timestamp,scans[5].scan,scans[6].timestamp,scans[6].scan,scans[7].timestamp,scans[7].scan,scans[8].timestamp,scans[8].scan,scans[9].timestamp,scans[9].scan,scans[10].timestamp,scans[10].scan,scans[11].timestamp,scans[11].scan,scans[12].timestamp,scans[12].scan,scans[13].timestamp,scans[13].scan,scans[14].timestamp,scans[14].scan,scans[15].timestamp,scans[15].scan,scans[16].timestamp,scans[16].scan,scans[17].timestamp,scans[17].scan,scans[18].timestamp,scans[18].scan,scans[19].timestamp,scans[19].scan,scans[20].timestamp,scans[20].scan,scans[21].timestamp,scans[21].scan,scans[22].timestamp,scans[22].scan,scans[23].timestamp,scans[23].scan,scans[24].timestamp,scans[24].scan,scans[25].timestamp,scans[25].scan,scans[26].timestamp,scans[26].scan,scans[27].timestamp,scans[27].scan,scans[28].timestamp,scans[28].scan,scans[29].timestamp,scans[29].scan,scans[30].timestamp,scans[30].scan,scans[31].timestamp,scans[31].scan,scans[32].timestamp,scans[32].scan,scans[33].timestamp,scans[33].scan,scans[34].timestamp,scans[34].scan,scans[35].timestamp,scans[35].scan,scans[36].timestamp,scans[36].scan,scans[37].timestamp,scans[37].scan,scans[38].timestamp,scans[38].scan,scans[39].timestamp,scans[39].scan,scans[40].timestamp,scans[40].scan,scans[41].timestamp,scans[41].scan,scans[42].timestamp,scans[42].scan,scans[43].timestamp,scans[43].scan,scans[44].timestamp,scans[44].scan,scans[45].timestamp,scans[45].scan,scans[46].timestamp,scans[46].scan
67d7c106380fe7c64399f735,9b349730-e251-4ceb-a5ed-8357b4dfcb00-94961,01f30ac3-4496-408f-b1b0-dc6ed4a36006,2024-12-27T12:45:07,delivery attempted. receiver not available for delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d4195,H00FFA0003197631,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-07T20:15:31,shipment manifested,2025-01-08T07:16:00,collection scheduled,2025-01-08T12:43:02,shipment collected,2025-01-08T18:44:56,shipment collected,2025-01-09T16:19:41,warehouse scan,2025-01-10T04:14:59,warehouse scan,2025-01-10T15:14:10,warehouse scan,2025-01-11T11:28:47,manifested,2025-01-11T11:29:02,out for delivery,2025-01-11T12:23:16,delivery attempted. receiver not available for delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d4297,JD014600011922053437,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-12-30T14:08:08,shipment collected,2024-12-30T16:50:35,in transit,2024-12-30T18:25:58,in transit,2024-12-31T02:59:59,in transit,2024-12-31T03:17:02,released by customs. clearance complete.,2024-12-31T05:27:26,in transit,2024-12-31T05:58:42,in transit,2024-12-31T06:41:56,in transit,2024-12-31T08:17:18,out for delivery,2024-12-31T09:13:01,delivery attempted. receiver not available for delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d42b3,JD014600011922053438,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-12-30T14:08:08,shipment collected,2024-12-30T16:50:35,in transit,2024-12-30T18:25:58,in transit,2024-12-31T02:59:59,in transit,2024-12-31T03:16:01,released by customs. clearance complete.,2024-12-31T05:27:26,in transit,2024-12-31T05:58:42,in transit,2024-12-31T06:41:56,in transit,2024-12-31T08:17:18,out for delivery,2024-12-31T09:13:01,delivery attempted. receiver not available for delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d441a,H00FFA0003191324,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-02T09:13:53,shipment manifested,2025-01-02T12:03:08,shipment dropped off awaiting carrier collection,2025-01-02T13:03:28,shipment collected,2025-01-02T18:58:06,warehouse scan,2025-01-03T18:16:45,package relabelled,2025-01-03T18:18:57,warehouse scan,2025-01-03T18:19:57,warehouse scan,2025-01-03T23:50:46,warehouse scan,2025-01-04T09:56:57,out for delivery,2025-01-04T10:12:51,delivery attempted. receiver not available for delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d4452,H00FRA0002175082,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-12-23T16:12:40,shipment manifested,2024-12-24T07:10:00,collection scheduled,2024-12-24T09:35:26,shipment collected,2024-12-27T15:11:39,warehouse scan,2024-12-28T17:41:28,warehouse scan,2024-12-28T17:49:47,warehouse scan,2024-12-29T00:30:14,in transit,2024-12-29T03:37:12,warehouse scan,2024-12-29T10:46:50,out for delivery,2024-12-29T10:51:16,delivery attempted. receiver not available for delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d46f6,32419266-0fdd-4c6f-9fbd-e31c30b0fc2d-42196,01f30ac3-4496-408f-b1b0-dc6ed4a36006,2024-10-29T23:30:38,shipment manifested,2024-11-01T13:03:55,internal activity scan,2024-11-01T17:01:48,in transit,2024-11-01T21:03:07,in transit,2024-11-01T21:03:07,in transit,2024-11-01T22:33:08,released by customs. clearance complete.,2024-11-02T12:33:08,in transit,2024-11-03T10:33:06,in transit,2024-11-09T06:33:06,in transit,2024-11-23T03:03:06,delivery attempted. receiver not available for delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d4b56,JD014600011932905061,a1630cac-f11e-45eb-ba58-de00a0c48748,2025-01-09T10:40:27,shipment collected,2025-01-09T16:24:10,in transit,2025-01-09T16:24:58,in transit,2025-01-10T01:24:03,in transit,2025-01-10T02:05:50,released by customs. clearance complete.,2025-01-10T04:08:48,in transit,2025-01-10T04:36:58,in transit,2025-01-10T08:48:49,in transit,2025-01-10T10:10:32,out for delivery,2025-01-10T14:24:25,delivery attempted. receiver not available for delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d4e36,H00FRA0002198078,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-14T20:53:56,shipment manifested,2025-01-15T07:35:00,collection scheduled,2025-01-15T15:16:38,shipment collected,2025-01-16T11:51:25,warehouse scan,2025-01-16T20:02:58,warehouse scan,2025-01-17T16:01:44,warehouse scan,2025-01-17T20:28:18,in transit,2025-01-17T23:51:22,warehouse scan,2025-01-18T10:50:59,out for delivery,2025-01-18T11:36:08,delivery attempted. receiver not available for delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d4e73,JD014600011949314593,a1630cac-f11e-45eb-ba58-de00a0c48748,2025-01-15T16:50:24,shipment collected,2025-01-15T20:08:18,in transit,2025-01-15T22:00:17,in transit,2025-01-15T23:40:27,in transit,2025-01-16T00:12:51,released by customs. clearance complete.,2025-01-16T03:28:45,in transit,2025-01-16T04:31:12,in transit,2025-01-16T07:17:49,in transit,2025-01-16T09:26:36,out for delivery,2025-01-16T13:35:39,delivery attempted. receiver not available for delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
