_id,tracking_number,carrier,scans[0].timestamp,scans[0].scan,scans[1].timestamp,scans[1].scan,scans[2].timestamp,scans[2].scan,scans[3].timestamp,scans[3].scan,scans[4].timestamp,scans[4].scan,scans[5].timestamp,scans[5].scan,scans[6].timestamp,scans[6].scan,scans[7].timestamp,scans[7].scan,scans[8].timestamp,scans[8].scan,scans[9].timestamp,scans[9].scan,scans[10].timestamp,scans[10].scan,scans[11].timestamp,scans[11].scan,scans[12].timestamp,scans[12].scan,scans[13].timestamp,scans[13].scan,scans[14].timestamp,scans[14].scan,scans[15].timestamp,scans[15].scan,scans[16].timestamp,scans[16].scan,scans[17].timestamp,scans[17].scan,scans[18].timestamp,scans[18].scan,scans[19].timestamp,scans[19].scan,scans[20].timestamp,scans[20].scan,scans[21].timestamp,scans[21].scan,scans[22].timestamp,scans[22].scan,scans[23].timestamp,scans[23].scan,scans[24].timestamp,scans[24].scan,scans[25].timestamp,scans[25].scan,scans[26].timestamp,scans[26].scan,scans[27].timestamp,scans[27].scan,scans[28].timestamp,scans[28].scan,scans[29].timestamp,scans[29].scan,scans[30].timestamp,scans[30].scan,scans[31].timestamp,scans[31].scan,scans[32].timestamp,scans[32].scan,scans[33].timestamp,scans[33].scan,scans[34].timestamp,scans[34].scan,scans[35].timestamp,scans[35].scan,scans[36].timestamp,scans[36].scan
67d7c106380fe7c64399b43b,CB3211278,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-21T10:57:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c64399b550,TI8954842,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-13T12:28:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c64399cb97,TI1826849,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2024-12-23T09:42:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c64399cbf0,TI7150543,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-08T12:27:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c64399f51a,TI2049514,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2024-12-23T09:42:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c64399f667,TI7212115,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-07T11:29:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c64399f864,TI7235076,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-07T12:13:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c6439a11e3,TI4871966,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2024-12-31T15:57:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c6439a167e,CB0595715,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-15T12:36:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c6439a202f,CB1733095,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-17T12:23:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d42d7,TI7242735,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-06T00:00:00,shipment manifested,2025-01-07T12:09:00,in transit,2025-01-07T12:09:00,shipment collected,2025-01-07T16:15:15,shipment collected,2025-01-07T19:28:00,in transit,2025-01-08T13:33:00,in transit,2025-01-08T23:34:00,warehouse scan,2025-01-08T23:35:00,out for delivery,2025-01-09T12:58:00,delivery attempted,2025-01-09T12:58:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d4434,TI5113698,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2024-12-30T00:00:00,shipment manifested,2024-12-30T12:50:00,in transit,2024-12-30T12:50:00,shipment collected,2024-12-30T12:51:14,shipment collected,2024-12-30T20:16:00,in transit,2024-12-31T11:10:00,warehouse scan,2025-01-02T03:43:00,out for delivery,2025-01-02T03:43:00,warehouse scan,2025-01-02T13:28:00,delivery attempted,2025-01-02T13:28:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d447d,TI6702483,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-03T00:00:00,shipment manifested,2025-01-03T14:26:48,shipment collected,2025-01-03T14:27:00,in transit,2025-01-03T14:27:00,shipment collected,2025-01-03T16:33:00,in transit,2025-01-06T11:11:00,in transit,2025-01-06T21:59:00,warehouse scan,2025-01-07T00:16:00,out for delivery,2025-01-07T08:13:00,out for delivery,2025-01-07T13:03:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d4601,TI7740240,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-07T13:40:44,shipment manifested,2025-01-07T14:53:00,in transit,2025-01-07T14:53:00,shipment collected,2025-01-07T16:00:00,in transit,2025-01-07T23:44:00,in transit,2025-01-08T04:36:00,warehouse scan,2025-01-08T04:37:00,out for delivery,2025-01-08T07:20:00,out for delivery,2025-01-08T08:35:00,delivery attempted,2025-01-08T08:35:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d4705,TI9208847,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-09T00:00:00,shipment manifested,2025-01-09T14:24:57,shipment collected,2025-01-09T15:08:00,in transit,2025-01-09T15:08:00,shipment collected,2025-01-09T17:27:00,in transit,2025-01-10T10:27:00,in transit,2025-01-11T01:33:00,warehouse scan,2025-01-11T01:34:00,out for delivery,2025-01-13T14:03:00,delivery attempted,2025-01-13T14:03:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d471f,TI7153995,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-06T00:00:00,shipment manifested,2025-01-06T17:20:00,in transit,2025-01-06T17:20:00,shipment collected,2025-01-06T18:44:00,in transit,2025-01-06T23:55:01,in transit,2025-01-07T06:15:00,warehouse scan,2025-01-07T06:16:00,out for delivery,2025-01-07T09:29:00,out for delivery,2025-01-09T08:20:00,out for delivery,2025-01-09T12:42:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d479f,TI6685034,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-03T00:00:00,shipment manifested,2025-01-03T15:01:00,in transit,2025-01-03T15:01:00,shipment collected,2025-01-03T16:45:45,shipment collected,2025-01-03T17:04:00,in transit,2025-01-06T10:23:00,in transit,2025-01-07T00:53:00,warehouse scan,2025-01-07T00:56:00,out for delivery,2025-01-07T06:11:00,out for delivery,2025-01-07T12:28:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d4800,TI5555228,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2024-12-31T00:00:00,shipment manifested,2025-01-02T14:29:18,in transit,2025-01-02T14:29:18,shipment collected,2025-01-02T19:20:00,in transit,2025-01-03T01:22:00,warehouse scan,2025-01-03T07:49:00,warehouse scan,2025-01-03T07:51:00,out for delivery,2025-01-03T08:13:00,out for delivery,2025-01-03T12:38:00,delivery attempted,2025-01-03T12:38:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d4815,TI9279295,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-09T15:19:00,collection failed - shipper not available,2025-01-09T21:44:31,shipment manifested,2025-01-10T14:33:13,in transit,2025-01-10T14:33:13,shipment collected,2025-01-10T15:43:00,in transit,2025-01-10T20:26:00,in transit,2025-01-11T00:28:00,out for delivery,2025-01-11T00:28:00,warehouse scan,2025-01-13T10:43:00,delivery failed,2025-01-13T10:43:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d4849,TI9454281,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-10T10:35:23,shipment manifested,2025-01-10T11:10:00,in transit,2025-01-10T11:10:00,shipment collected,2025-01-10T17:00:00,in transit,2025-01-11T01:07:50,in transit,2025-01-11T05:03:00,warehouse scan,2025-01-11T05:04:00,out for delivery,2025-01-13T07:14:00,out for delivery,2025-01-13T14:32:00,delivery attempted,2025-01-13T14:32:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d7fa2,TI2242747,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2024-12-20T13:48:00,in transit,2024-12-20T13:48:00,shipment collected,2024-12-20T17:47:00,in transit,2024-12-20T19:33:56,shipment manifested,2024-12-20T23:29:00,in transit,2024-12-21T03:33:00,warehouse scan,2024-12-21T03:35:00,out for delivery,2024-12-23T10:37:00,delivery attempted,2024-12-23T10:37:00,delivery attempted,2024-12-24T00:05:00,out for delivery,2024-12-24T09:52:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
