_id,tracking_number,carrier,scans[0].timestamp,scans[0].scan,scans[1].timestamp,scans[1].scan,scans[2].timestamp,scans[2].scan,scans[3].timestamp,scans[3].scan,scans[4].timestamp,scans[4].scan,scans[5].timestamp,scans[5].scan,scans[6].timestamp,scans[6].scan,scans[7].timestamp,scans[7].scan,scans[8].timestamp,scans[8].scan,scans[9].timestamp,scans[9].scan,scans[10].timestamp,scans[10].scan,scans[11].timestamp,scans[11].scan,scans[12].timestamp,scans[12].scan,scans[13].timestamp,scans[13].scan,scans[14].timestamp,scans[14].scan,scans[15].timestamp,scans[15].scan,scans[16].timestamp,scans[16].scan,scans[17].timestamp,scans[17].scan,scans[18].timestamp,scans[18].scan,scans[19].timestamp,scans[19].scan,scans[20].timestamp,scans[20].scan,scans[21].timestamp,scans[21].scan,scans[22].timestamp,scans[22].scan,scans[23].timestamp,scans[23].scan,scans[24].timestamp,scans[24].scan,scans[25].timestamp,scans[25].scan,scans[26].timestamp,scans[26].scan,scans[27].timestamp,scans[27].scan,scans[28].timestamp,scans[28].scan,scans[29].timestamp,scans[29].scan,scans[30].timestamp,scans[30].scan,scans[31].timestamp,scans[31].scan,scans[32].timestamp,scans[32].scan,scans[33].timestamp,scans[33].scan,scans[34].timestamp,scans[34].scan,scans[35].timestamp,scans[35].scan,scans[36].timestamp,scans[36].scan,scans[37].timestamp,scans[37].scan,scans[38].timestamp,scans[38].scan,scans[39].timestamp,scans[39].scan,scans[40].timestamp,scans[40].scan,scans[41].timestamp,scans[41].scan,scans[42].timestamp,scans[42].scan,scans[43].timestamp,scans[43].scan,scans[44].timestamp,scans[44].scan,scans[45].timestamp,scans[45].scan,scans[46].timestamp,scans[46].scan,scans[47].timestamp,scans[47].scan,scans[48].timestamp,scans[48].scan,scans[49].timestamp,scans[49].scan,scans[50].timestamp,scans[50].scan,scans[51].timestamp,scans[51].scan,scans[52].timestamp,scans[52].scan,scans[53].timestamp,scans[53].scan,scans[54].timestamp,scans[54].scan,scans[55].timestamp,scans[55].scan,scans[56].timestamp,scans[56].scan
67d7c106380fe7c64399b43b,CB3211278,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-21T10:57:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c64399b550,TI8954842,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-13T12:28:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c64399cb97,TI1826849,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2024-12-23T09:42:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c64399cbf0,TI7150543,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-08T12:27:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c64399f51a,TI2049514,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2024-12-23T09:42:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c64399f667,TI7212115,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-07T11:29:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c64399f735,9b349730-e251-4ceb-a5ed-8357b4dfcb00-94961,01f30ac3-4496-408f-b1b0-dc6ed4a36006,2024-12-27T12:45:07,delivery attempted. receiver not available for delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c64399f864,TI7235076,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-07T12:13:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c6439a11e3,TI4871966,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2024-12-31T15:57:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c106380fe7c6439a167e,CB0595715,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-15T12:36:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d4195,H00FFA0003197631,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-07T20:15:31,shipment manifested,2025-01-08T07:16:00,collection scheduled,2025-01-08T12:43:02,shipment collected,2025-01-08T18:44:56,shipment collected,2025-01-09T16:19:41,warehouse scan,2025-01-10T04:14:59,warehouse scan,2025-01-10T15:14:10,warehouse scan,2025-01-11T11:28:47,manifested,2025-01-11T11:29:02,out for delivery,2025-01-11T12:23:16,delivery attempted. receiver not available for delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d421c,H00FRA0002181340,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-01T10:57:10,shipment manifested,2025-01-01T15:12:49,shipment dropped off awaiting carrier collection,2025-01-02T12:39:21,shipment collected,2025-01-02T20:43:44,warehouse scan,2025-01-03T08:31:11,warehouse scan,2025-01-04T00:51:29,warehouse scan,2025-01-04T02:01:32,in transit,2025-01-04T11:04:01,out for delivery,2025-01-04T13:26:23,scheduled for delivery,2025-01-04T16:33:06,delivery attempted. receiver not available for delivery. delivery rescheduled for next business day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d4297,JD014600011922053437,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-12-30T14:08:08,shipment collected,2024-12-30T16:50:35,in transit,2024-12-30T18:25:58,in transit,2024-12-31T02:59:59,in transit,2024-12-31T03:17:02,released by customs. clearance complete.,2024-12-31T05:27:26,in transit,2024-12-31T05:58:42,in transit,2024-12-31T06:41:56,in transit,2024-12-31T08:17:18,out for delivery,2024-12-31T09:13:01,delivery attempted. receiver not available for delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d42b3,JD014600011922053438,a1630cac-f11e-45eb-ba58-de00a0c48748,2024-12-30T14:08:08,shipment collected,2024-12-30T16:50:35,in transit,2024-12-30T18:25:58,in transit,2024-12-31T02:59:59,in transit,2024-12-31T03:16:01,released by customs. clearance complete.,2024-12-31T05:27:26,in transit,2024-12-31T05:58:42,in transit,2024-12-31T06:41:56,in transit,2024-12-31T08:17:18,out for delivery,2024-12-31T09:13:01,delivery attempted. receiver not available for delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d42d7,TI7242735,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-06T00:00:00,shipment manifested,2025-01-07T12:09:00,in transit,2025-01-07T12:09:00,shipment collected,2025-01-07T16:15:15,shipment collected,2025-01-07T19:28:00,in transit,2025-01-08T13:33:00,in transit,2025-01-08T23:34:00,warehouse scan,2025-01-08T23:35:00,out for delivery,2025-01-09T12:58:00,delivery attempted,2025-01-09T12:58:00,delivery attempted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d432c,H00FRA0002178393,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-12-29T17:55:51,shipment manifested,2024-12-30T11:58:07,shipment dropped off awaiting carrier collection,2024-12-30T12:41:26,shipment collected,2024-12-30T16:52:39,warehouse scan,2024-12-31T01:06:23,warehouse scan,2025-01-01T14:18:43,warehouse scan,2025-01-02T10:29:12,out for delivery,2025-01-02T12:08:53,scheduled for delivery,2025-01-02T20:38:23,delivered,2025-01-03T10:07:50,delivery attempted. receiver not available for delivery. delivery rescheduled for next business day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d43ec,H00FFA0003188670,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-12-30T09:11:31,shipment manifested,2024-12-30T09:29:29,shipment dropped off awaiting carrier collection,2024-12-31T15:14:26,shipment collected,2024-12-31T18:02:52,warehouse scan,2025-01-01T21:55:38,warehouse scan,2025-01-02T06:07:14,warehouse scan,2025-01-02T09:45:24,out for delivery,2025-01-02T10:54:52,scheduled for delivery,2025-01-02T17:27:15,delivered,2025-01-02T17:47:41,delivery attempted. receiver not available for delivery. delivery rescheduled for next business day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
