_id,tracking_number,carrier,scans[0].timestamp,scans[1].timestamp,scans[0].scan,scans[1].scan
67d7c107380fe7c6439a236e,H00FFA0003190219,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-12-31T14:50:48.000Z,2025-01-03T18:40:59.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a2373,H00FRA0002181287,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-12-31T15:11:30.000Z,2024-12-31T15:34:20.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a2379,3072655485,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-12-17T22:47:00.000Z,2024-12-20T18:03:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a237a,3235392777,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-12-19T14:21:00.000Z,2024-12-23T13:56:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a2382,H00FRA0002180273,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-12-30T20:48:41.000Z,2024-12-31T11:28:33.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a2383,H00FFA0003191639,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-02T11:25:02.000Z,2025-01-02T13:33:07.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a2386,99d0121e-a1dc-4802-9303-7acfffc1541d-43663,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-12-26T14:42:35.000Z,2025-01-01T17:11:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a238a,H00FFA0003193493,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-04T10:00:48.000Z,2025-01-04T14:30:03.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a238b,9587fc46-903e-4445-adc3-922d6e931aa6-73272,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-12-17T22:47:00.000Z,2024-12-20T18:03:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a238d,70099748-7217-4e47-adc0-c699d003d123-11888,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-12-18T10:37:00.000Z,2024-12-18T12:38:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a238f,3072807111,5d0e294f-b483-4ba8-bd53-7f058427f35a,2024-12-18T10:37:00.000Z,2024-12-18T12:38:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a2395,H00FRA0002182001,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-02T11:09:00.000Z,2025-01-02T11:31:16.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a239a,b689a5e0-16aa-4210-b37b-4f15469cd72f-25207,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-12-26T15:04:24.000Z,2024-12-28T15:56:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a23a4,H00FRA0002176426,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-12-27T09:45:32.000Z,2024-12-27T10:37:05.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a23a7,1Z2F1Y916825373515,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-26T16:23:50.000Z,2024-12-27T10:19:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a23ac,8570a6f2-b092-4f65-a658-9100cfaab32a-88444,fede808b-fbf4-449c-8816-41aae5aa62ec,2025-01-04T09:21:56.000Z,2025-01-04T15:30:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a23ad,H00FRA0002187974,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-06T16:48:36.000Z,2025-01-08T14:56:47.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a23b1,H00FFA0003189418,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-12-30T19:56:53.000Z,2024-12-31T13:14:41.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a23b2,e69c5bc8-9142-49db-af23-6672f5324d02-16307,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-12-31T15:53:14.000Z,2025-01-01T16:05:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a23b5,1Z7E524X6894075993,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-07T20:20:29.000Z,2025-01-10T10:20:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a23b9,H00FRA0002180297,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-12-30T21:04:17.000Z,2024-12-31T11:06:43.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a23bc,H00FFA0003189216,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-12-30T20:58:35.000Z,2024-12-31T05:25:27.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a23cf,H00FRA0002190426,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-08T10:47:46.000Z,2025-01-08T15:29:28.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a23d2,614bb17f-8d69-453d-b7fe-dc56278859c4-54776,fede808b-fbf4-449c-8816-41aae5aa62ec,2024-12-26T18:44:54.000Z,2024-12-27T10:35:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a23d3,1Z61A84F0417313434,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-26T17:58:32.000Z,2024-12-27T13:50:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a23d4,H00FRA0002182455,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-02T11:42:26.000Z,2025-01-02T12:07:57.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a23d7,H00FRA0002182265,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-02T11:35:08.000Z,2025-01-02T13:18:06.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a23df,1Z61A84F0407761871,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-26T19:53:43.000Z,2024-12-28T12:48:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a23e1,H00FFA0003191540,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-02T11:28:02.000Z,2025-01-02T12:23:29.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a23e4,H00FRA0002184904,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-04T09:04:42.000Z,2025-01-04T09:57:49.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a23e5,3891265051,5d0e294f-b483-4ba8-bd53-7f058427f35a,2025-01-07T11:55:00.000Z,2025-01-07T13:39:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a23f0,1Z61A84F5438934532,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-31T18:59:43.000Z,2025-01-02T19:07:00.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a23f3,H00FRA0002180146,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-12-30T21:24:27.000Z,2024-12-31T10:43:16.000Z,shipment manifested,shipment dropped off awaiting carrier collection
67d7c107380fe7c6439a23f5,H00FFA0003193164,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-04T09:53:23.000Z,2025-01-04T14:30:01.000Z,shipment manifested,shipment dropped off awaiting carrier collection
