_id,tracking_number,carrier,scans[0].timestamp,scans[0].scan,scans[1].timestamp,scans[1].scan,scans[2].timestamp,scans[2].scan,scans[3].timestamp,scans[3].scan,scans[4].timestamp,scans[4].scan,scans[5].timestamp,scans[5].scan,scans[6].timestamp,scans[6].scan,scans[7].timestamp,scans[7].scan,scans[8].timestamp,scans[8].scan,scans[9].timestamp,scans[9].scan,scans[10].timestamp,scans[10].scan,scans[11].timestamp,scans[11].scan,scans[12].timestamp,scans[12].scan,scans[13].timestamp,scans[13].scan,scans[14].timestamp,scans[14].scan,scans[15].timestamp,scans[15].scan,scans[16].timestamp,scans[16].scan,scans[17].timestamp,scans[17].scan,scans[18].timestamp,scans[18].scan,scans[19].timestamp,scans[19].scan,scans[20].timestamp,scans[20].scan,scans[21].timestamp,scans[21].scan,scans[22].timestamp,scans[22].scan,scans[23].timestamp,scans[23].scan,scans[24].timestamp,scans[24].scan,scans[25].timestamp,scans[25].scan,scans[26].timestamp,scans[26].scan,scans[27].timestamp,scans[27].scan,scans[28].timestamp,scans[28].scan,scans[29].timestamp,scans[29].scan,scans[30].timestamp,scans[30].scan,scans[31].timestamp,scans[31].scan,scans[32].timestamp,scans[32].scan,scans[33].timestamp,scans[33].scan,scans[34].timestamp,scans[34].scan,scans[35].timestamp,scans[35].scan,scans[36].timestamp,scans[36].scan,scans[37].timestamp,scans[37].scan,scans[38].timestamp,scans[38].scan,scans[39].timestamp,scans[39].scan,scans[40].timestamp,scans[40].scan,scans[41].timestamp,scans[41].scan
67d7c106380fe7c64399e483,TI8034610,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-08T16:37:47,incomplete or incorrect delivery address. additional information or directions needed for delivery.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d475b,1Z7E524X0493203635,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-07T23:17:00,in transit,2025-01-08T00:17:00,in transit,2025-01-08T02:30:00,in transit,2025-01-08T08:30:00,in transit,2025-01-08T08:45:00,in transit,2025-01-09T07:35:00,in transit,2025-01-09T08:48:56,out for delivery,2025-01-09T08:48:56,out for delivery,2025-01-09T16:33:29,incomplete or incorrect delivery address. additional information or directions needed for delivery.,2025-01-09T16:33:29,incomplete or incorrect delivery address. additional information or directions needed for delivery.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d4de7,CB1692965,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-15T11:45:00,in transit,2025-01-15T11:45:00,shipment collected,2025-01-15T13:08:43,shipment manifested,2025-01-15T16:37:00,in transit,2025-01-16T11:36:00,in transit,2025-01-17T00:42:00,warehouse scan,2025-01-17T00:43:00,out for delivery,2025-01-17T23:02:00,out for delivery,2025-01-20T12:38:00,delivery attempted,2025-01-20T12:38:00,incomplete or incorrect delivery address. additional information or directions needed for delivery.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d4ec7,CB2573386,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-16T00:00:00,shipment manifested,2025-01-16T16:43:05,in transit,2025-01-16T16:43:05,shipment collected,2025-01-16T17:52:00,in transit,2025-01-17T02:15:00,in transit,2025-01-17T05:30:00,out for delivery,2025-01-17T05:30:07,warehouse scan,2025-01-17T06:49:00,out for delivery,2025-01-17T11:40:00,delivery attempted,2025-01-17T11:40:00,incomplete or incorrect delivery address. additional information or directions needed for delivery.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d4f13,1Z251V576899471577,0bb863db-1a5d-4688-8212-a842ab236726,2024-09-23T09:25:16,shipment manifested,2024-09-23T14:04:05,shipment collected,2024-09-23T17:06:43,in transit,2024-09-23T19:30:00,in transit,2024-09-24T06:20:00,in transit,2024-09-24T07:03:43,delivery rescheduled,2024-09-24T07:03:43,incomplete or incorrect delivery address. additional information or directions needed for delivery.,2024-09-24T07:05:27,incomplete or incorrect delivery address. additional information or directions needed for delivery.,2024-09-24T14:00:39,delivery rescheduled,2024-09-24T14:00:39,incomplete or incorrect delivery address. additional information or directions needed for delivery.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d52c1,H00FRA0002196404,6e28e500-05f1-4745-9878-e4952ac9afeb,2025-01-13T15:43:18,shipment manifested,2025-01-13T17:36:49,shipment dropped off awaiting carrier collection,2025-01-14T15:48:55,shipment collected,2025-01-14T21:48:20,warehouse scan,2025-01-15T06:41:36,warehouse scan,2025-01-15T14:30:25,warehouse scan,2025-01-16T08:14:54,out for delivery,2025-01-16T09:18:52,incomplete or incorrect delivery address. additional information or directions needed for delivery.,2025-01-16T10:15:40,warehouse scan,2025-01-16T16:38:08,incomplete or incorrect delivery address. additional information or directions needed for delivery.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d5451,TH7666941,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2024-12-11T00:00:00,shipment manifested,2024-12-20T15:47:00,in transit,2024-12-20T15:47:00,shipment collected,2024-12-20T15:52:00,in transit,2024-12-20T17:05:20,shipment collected,2024-12-20T21:51:05,in transit,2024-12-21T05:43:00,warehouse scan,2024-12-21T05:44:00,out for delivery,2024-12-23T13:02:00,delivery attempted,2024-12-23T13:02:00,incomplete or incorrect delivery address. additional information or directions needed for delivery.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d54a8,1Z7E524X6896722191,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-18T12:33:01,shipment manifested,2024-12-19T14:07:59,shipment collected,2024-12-27T18:45:43,in transit,2024-12-27T22:29:00,in transit,2024-12-28T05:00:00,in transit,2024-12-28T08:25:22,out for delivery,2024-12-28T08:32:28,incomplete or incorrect delivery address. additional information or directions needed for delivery.,2024-12-30T04:25:29,in transit,2024-12-30T10:51:20,delivery rescheduled due to holiday closures,2024-12-30T11:52:53,incomplete or incorrect delivery address. additional information or directions needed for delivery.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d5ae6,CB0545396,66bdc51d-a6ec-4c82-8b6d-ae07fb619028,2025-01-13T12:07:17,shipment manifested,2025-01-13T16:18:00,in transit,2025-01-13T16:18:00,shipment collected,2025-01-13T23:51:00,in transit,2025-01-14T18:15:00,warehouse scan,2025-01-15T02:34:00,warehouse scan,2025-01-15T02:35:00,out for delivery,2025-01-15T14:42:00,delivery attempted,2025-01-15T14:42:00,delivery attempted. receiver not available for delivery,2025-01-15T16:47:49,incomplete or incorrect delivery address. additional information or directions needed for delivery.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d5e58,H00FRA0002178824,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-12-29T19:14:54,shipment manifested,2024-12-29T19:40:13,shipment dropped off awaiting carrier collection,2024-12-31T14:11:21,shipment collected,2024-12-31T17:09:23,warehouse scan,2025-01-02T09:16:06,warehouse scan,2025-01-02T18:08:27,warehouse scan,2025-01-03T00:31:53,in transit,2025-01-03T10:29:30,out for delivery,2025-01-03T11:00:06,incomplete or incorrect delivery address. additional information or directions needed for delivery.,2025-01-03T18:01:37,incomplete or incorrect delivery address. additional information or directions needed for delivery.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
