_id,tracking_number,carrier,scans[0].timestamp,scans[0].scan,scans[1].timestamp,scans[1].scan,scans[2].timestamp,scans[2].scan,scans[3].timestamp,scans[3].scan,scans[4].timestamp,scans[4].scan,scans[5].timestamp,scans[5].scan,scans[6].timestamp,scans[6].scan,scans[7].timestamp,scans[7].scan,scans[8].timestamp,scans[8].scan,scans[9].timestamp,scans[9].scan,scans[10].timestamp,scans[10].scan,scans[11].timestamp,scans[11].scan,scans[12].timestamp,scans[12].scan,scans[13].timestamp,scans[13].scan,scans[14].timestamp,scans[14].scan,scans[15].timestamp,scans[15].scan,scans[16].timestamp,scans[16].scan,scans[17].timestamp,scans[17].scan,scans[18].timestamp,scans[18].scan,scans[19].timestamp,scans[19].scan,scans[20].timestamp,scans[20].scan,scans[21].timestamp,scans[21].scan,scans[22].timestamp,scans[22].scan,scans[23].timestamp,scans[23].scan,scans[24].timestamp,scans[24].scan,scans[25].timestamp,scans[25].scan,scans[26].timestamp,scans[26].scan,scans[27].timestamp,scans[27].scan,scans[28].timestamp,scans[28].scan,scans[29].timestamp,scans[29].scan,scans[30].timestamp,scans[30].scan,scans[31].timestamp,scans[31].scan,scans[32].timestamp,scans[32].scan,scans[33].timestamp,scans[33].scan,scans[34].timestamp,scans[34].scan,scans[35].timestamp,scans[35].scan,scans[36].timestamp,scans[36].scan,scans[37].timestamp,scans[37].scan,scans[38].timestamp,scans[38].scan,scans[39].timestamp,scans[39].scan,scans[40].timestamp,scans[40].scan,scans[41].timestamp,scans[41].scan,scans[42].timestamp,scans[42].scan,scans[43].timestamp,scans[43].scan,scans[44].timestamp,scans[44].scan,scans[45].timestamp,scans[45].scan,scans[46].timestamp,scans[46].scan
67d7c109380fe7c6439d4fcb,1Z61A84F0409593246,0bb863db-1a5d-4688-8212-a842ab236726,2024-11-01T06:38:34,in transit,2024-11-01T13:02:28,package damaged - refused by receiver,2024-11-01T19:04:02,carrier error delayed delivery,2024-11-04T08:21:11,warehouse scan,2024-11-04T08:21:11,warehouse scan,2024-11-05T08:24:39,warehouse scan,2024-11-05T08:24:39,warehouse scan,2024-11-06T08:35:47,warehouse scan,2024-11-06T08:35:47,warehouse scan,2024-11-06T10:00:00,package damaged and contents discarded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d7333,1Z7E524X0491556311,0bb863db-1a5d-4688-8212-a842ab236726,2024-10-24T13:17:26,shipment manifested,2024-10-25T14:18:27,shipment collected,2024-10-25T16:18:54,in transit,2024-10-25T19:15:00,in transit,2024-10-28T17:37:12,in transit,2024-10-28T23:41:38,additional information required for customs clearance,2024-10-29T16:26:38,carrier to contact sender or receiver,2024-10-29T16:26:38,additional information required for customs clearance,2024-10-30T15:33:42,additional information required for customs clearance,2024-11-01T22:14:20,package damaged and contents discarded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d9970,1Z7E524X0495320844,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-15T15:13:57,shipment manifested,2024-12-16T12:14:36,shipment collected,2024-12-16T18:10:08,in transit,2024-12-16T18:13:00,in transit,2024-12-16T21:12:00,in transit,2024-12-17T02:31:56,export scan,2024-12-17T06:25:04,in transit,2024-12-17T21:43:00,in transit,2024-12-20T15:25:44,in transit,2024-12-20T22:46:09,clearance has been delayed by customs or other government agency,2024-12-26T22:56:16,package damaged and contents discarded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d99cd,1Z7E524X0497406454,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-15T15:13:57,shipment manifested,2024-12-16T12:14:36,shipment collected,2024-12-16T18:10:10,in transit,2024-12-16T18:13:00,in transit,2024-12-16T21:12:00,in transit,2024-12-17T02:33:09,export scan,2024-12-17T06:25:04,in transit,2024-12-17T21:43:00,in transit,2024-12-20T15:25:44,in transit,2024-12-20T22:46:09,clearance has been delayed by customs or other government agency,2024-12-26T22:56:16,package damaged and contents discarded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c109380fe7c6439d9b0e,1Z7E524X0498053066,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-15T15:13:57,shipment manifested,2024-12-16T12:14:36,shipment collected,2024-12-16T18:10:23,in transit,2024-12-16T18:13:00,in transit,2024-12-16T21:12:00,in transit,2024-12-17T02:33:14,export scan,2024-12-17T06:25:04,in transit,2024-12-17T21:43:00,in transit,2024-12-20T15:25:44,in transit,2024-12-20T22:46:09,clearance has been delayed by customs or other government agency,2024-12-26T22:56:16,package damaged and contents discarded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10a380fe7c6439dbb60,1Z61A84F0409593246,0bb863db-1a5d-4688-8212-a842ab236726,2024-11-01T06:38:34,in transit,2024-11-01T13:02:28,package damaged - refused by receiver,2024-11-01T19:04:02,carrier error delayed delivery,2024-11-04T08:21:11,warehouse scan,2024-11-04T08:21:11,warehouse scan,2024-11-05T08:24:39,warehouse scan,2024-11-05T08:24:39,warehouse scan,2024-11-06T08:35:47,warehouse scan,2024-11-06T08:35:47,warehouse scan,2024-11-06T10:00:00,package damaged and contents discarded,2024-11-06T10:00:00,new tracking number assigned to the package,2024-11-06T10:00:00,package damaged and contents discarded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10a380fe7c6439dc1c0,1Z61A84F0407836559,0bb863db-1a5d-4688-8212-a842ab236726,2025-01-03T08:00:36,shipment manifested,2025-01-03T15:51:25,shipment collected,2025-01-03T17:58:37,in transit,2025-01-03T19:00:00,in transit,2025-01-03T20:36:00,in transit,2025-01-03T22:13:17,export scan,2025-01-03T22:30:00,in transit,2025-01-03T23:36:00,in transit,2025-01-07T07:28:00,in transit,2025-01-11T20:45:06,warehouse scan,2025-01-12T10:20:40,additional information required for customs clearance,2025-01-13T07:03:00,package damaged and contents discarded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10a380fe7c6439dd6d9,1Z7E524X0497788999,0bb863db-1a5d-4688-8212-a842ab236726,2024-10-21T09:54:28,shipment manifested,2024-10-21T12:54:00,shipment dropped off awaiting carrier collection,2024-10-21T12:54:59,shipment dropped off awaiting carrier collection,2024-10-22T11:15:38,shipment collected,2024-10-22T16:30:00,in transit,2024-10-23T19:48:00,in transit,2024-10-24T20:27:00,in transit,2024-10-31T13:22:31,warehouse scan,2024-11-01T13:51:10,warehouse scan,2024-11-07T14:08:26,warehouse scan,2024-11-07T14:08:26,warehouse scan,2024-11-07T18:19:00,package damaged and contents discarded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10a380fe7c6439df258,H00FFA0003098782,6e28e500-05f1-4745-9878-e4952ac9afeb,2024-10-24T16:13:58,shipment manifested,2024-10-25T06:24:00,collection scheduled,2024-10-29T13:45:18,shipment dropped off awaiting carrier collection,2024-10-30T12:02:12,shipment collected,2024-10-30T20:14:21,warehouse scan,2024-10-31T06:31:05,warehouse scan,2024-10-31T16:48:00,warehouse scan,2024-11-01T08:55:44,out for delivery,2024-11-01T10:42:32,scheduled for delivery,2024-11-01T12:02:03,package damaged - on hold,2024-11-02T11:12:19,warehouse scan,2024-11-02T16:54:21,inspection of damaged contents scheduled,2024-11-02T16:56:06,package damaged and contents discarded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67d7c10a380fe7c6439df2aa,1Z7E524X0491124466,0bb863db-1a5d-4688-8212-a842ab236726,2024-12-19T18:22:04,shipment manifested,2024-12-20T10:08:00,shipment dropped off awaiting carrier collection,2024-12-20T10:08:56,shipment dropped off awaiting carrier collection,2024-12-20T14:11:01,shipment collected,2024-12-20T16:47:51,in transit,2024-12-20T17:15:00,in transit,2024-12-20T20:58:00,in transit,2024-12-20T21:58:59,export scan,2024-12-21T05:53:00,in transit,2024-12-21T14:18:00,in transit,2024-12-23T18:24:46,in transit,2024-12-27T20:49:00,clearance has been delayed by customs or other government agency,2025-01-20T14:58:00,package damaged and contents discarded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
