input,output
"(2024-09-03T05:15:00) Collection scheduled,(2024-09-02T22:08:47) Shipment manifested","{""shipments"": [{""shipmentStatus"": ""Manifested"", ""CollectionStatus"": 0, ""CollectionAttemptCount"": 0, ""CollectionSchedulingStatus"": ""No collection attempted yet - Collection scheduled \ booked for first attempt""}]}"
"(2024-09-03T18:59:31) Shipment manifested,(2024-09-04T07:07:00) Collection scheduled,(2024-09-04T15:38:36) Collection failed,(2024-09-05T07:06:00) Collection scheduled,(2024-09-05T15:34:48) Collection failed,(2024-09-06T07:05:00) Collection scheduled,(2024-09-07T10:05:17) Collection failed,(2024-09-09T07:07:00) Collection scheduled,(2024-09-09T10:30:25) Internal activity scan","{""shipments"": [{""shipmentStatus"": ""CollectionFailed"", ""CollectionStatus"": 14, ""CollectionAttemptCount"": 3, ""CollectionSchedulingStatus"": ""RescheduledNoDate""}]}"
"(2024-09-03T09:48:29) Shipment manifested,(2024-09-04T06:36:00) Collection scheduled,(2024-09-04T13:04:18) Collection failed","{""shipments"": [{""shipmentStatus"": ""CollectionFailed"", ""CollectionStatus"": 14, ""CollectionAttemptCount"": 1, ""CollectionSchedulingStatus"": ""NotRescheduled""}]}"
"(2024-10-31T21:39:53) Shipment manifested,(2024-11-01T07:31:00) Collection scheduled,(2024-11-01T14:22:30) Collection failed,(2024-11-02T07:58:00) Collection scheduled,(2024-11-02T19:56:10) Collection failed,(2024-11-09T07:39:00) Collection scheduled,(2024-11-09T17:37:32) Collection failed. To be rescheduled,(2024-11-12T08:36:00) Collection scheduled,(2024-11-12T12:22:47) Collection failed","{""shipments"": [{""shipmentStatus"": ""CollectionFailed"", ""CollectionStatus"": 14, ""CollectionAttemptCount"": 4, ""CollectionSchedulingStatus"": ""NotRescheduled""}]}"
"(2024-09-03T16:18:12) Shipment manifested,(2024-09-04T06:42:00) Collection scheduled,(2024-09-04T14:42:08) Not collected due to address issue","{""shipments"": [{""shipmentStatus"": ""Manifested"", ""CollectionStatus"": 8, ""CollectionAttemptCount"": 0, ""CollectionSchedulingStatus"": ""NotRescheduled""}]}"
"(2024-09-02T16:42:45) Shipment manifested,(2024-09-03T07:16:00) Collection scheduled,(2024-09-03T11:32:42) Collection failed,(2024-09-04T06:55:00) Collection scheduled,(2024-09-04T12:08:57) Collection failed,(2024-09-05T07:25:00) Collection scheduled,(2024-09-05T11:06:32) Collection failed or cancelled. Rebooking required","{""shipments"": [{""shipmentStatus"": ""CollectionFailed"", ""CollectionStatus"": 14, ""CollectionAttemptCount"": 3, ""CollectionSchedulingStatus"": ""NotRescheduled""}]}"
"(2024-09-02T14:31:25) Shipment manifested,(2024-09-03T06:04:00) Collection scheduled,(2024-09-03T16:55:26) Internal activity scan","{""shipments"": [{""shipmentStatus"": ""Manifested"", ""CollectionStatus"": 0, ""CollectionAttemptCount"": 0, ""CollectionSchedulingStatus"": ""NotAttempted""}]}"
"(2024-09-04T11:07:02) Shipment manifested,(2024-09-05T04:59:00) Collection scheduled,(2024-09-05T13:09:57) Collection failed - Unable to gain access","{""shipments"": [{""shipmentStatus"": ""CollectionFailed"", ""CollectionStatus"": 11, ""CollectionAttemptCount"": 1, ""CollectionSchedulingStatus"": ""NotRescheduled""}]}"
"(2024-09-02T13:32:59) Shipment manifested,(2024-09-04T11:56:37) Collection failed or cancelled. Rebooking required","{""shipments"": [{""shipmentStatus"": ""CollectionFailed"", ""CollectionStatus"": 14, ""CollectionAttemptCount"": 1, ""CollectionSchedulingStatus"": ""NotRescheduled""}]}"
"(2024-10-29T16:20:44) Shipment manifested,(2024-10-29T16:29:00) Shipment dropped off awaiting carrier collection,(2024-10-29T16:59:55) Collection failed or cancelled. Rebooking required","{""shipments"": [{""shipmentStatus"": ""CollectionFailed"", ""CollectionStatus"": 14, ""CollectionAttemptCount"": 1, ""CollectionSchedulingStatus"": ""NotRescheduled""}]}"
"(2024-10-04T13:49:33) Shipment manifested,(2024-10-07T07:11:00) Collection scheduled,(2024-10-07T15:57:33) Collection failed,(2024-10-08T06:54:00) Collection scheduled,(2024-10-08T11:42:49) Collection failed","{""shipments"": [{""shipmentStatus"": ""CollectionFailed"", ""CollectionStatus"": 14, ""CollectionAttemptCount"": 2, ""CollectionSchedulingStatus"": ""NotRescheduled""}]}"
"(2024-10-05T06:58:58) Shipment manifested,(2024-10-07T06:40:00) Collection scheduled,(2024-10-07T12:37:13) Collection failed,(2024-10-08T06:44:00) Collection scheduled,(2024-10-08T11:40:21) Collection failed - Shipper not available","{""shipments"": [{""shipmentStatus"": ""CollectionFailed"", ""CollectionStatus"": 12, ""CollectionAttemptCount"": 2, ""CollectionSchedulingStatus"": ""NotRescheduled""}]}"
"(2024-10-31T16:26:02) Shipment manifested,(2024-11-04T06:04:00) Collection scheduled,(2024-11-04T13:19:05) Collection failed,(2024-11-05T06:07:00) Collection scheduled,(2024-11-05T12:38:06) Collection failed,(2024-11-08T06:03:00) Collection scheduled,(2024-11-08T12:06:55) Collection failed","{""shipments"": [{""shipmentStatus"": ""CollectionFailed"", ""CollectionStatus"": 14, ""CollectionAttemptCount"": 3, ""CollectionSchedulingStatus"": ""NotRescheduled""}]}"
